Free Agent First Basemen  Season   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,Vladimir Guerrero Jr. 1B | TOR,556,98,172,108,34,0,30,93,74,95,4,2,.309,.393,.532,482
W ,Nick Kurtz 1B | ATH,544,106,159,81,34,4,40,105,71,182,4,1,.292,.376,.590,436
W ,Rafael Devers 1B | SF ,528,91,145,80,31,2,32,98,87,152,2,0,.275,.378,.523,410
W ,Josh Naylor 1B | SEA ,485,70,142,95,26,1,20,82,45,85,19,2,.293,.356,.474,402
W ,Yandy Diaz 1B | TB ,528,73,165,112,30,2,21,84,54,83,2,1,.312,.379,.496,400
W ,Bryce Harper 1B | PHI,555,79,146,80,38,0,28,84,71,144,10,2,.263,.353,.483,394
W ,Freddie Freeman 1B | LAD,537,76,159,98,38,2,21,83,60,116,6,2,.296,.373,.492,391
W ,Luis Arraez 1B | SF,539,67,163,119,29,7,8,54,29,30,9,3,.302,.341,.427,378
W ,Matt Olson 1B | ATL ,547,82,150,84,39,2,25,86,71,147,1,0,.274,.361,.490,369
W ,"Tyler Soderstrom 1B,OF | ATH",519,76,145,86,30,2,27,87,47,139,8,4,.279,.350,.501,362
W ,Michael Busch 1B | CHC,476,73,130,71,25,3,31,80,50,124,4,0,.273,.356,.534,357
W ,Pete Alonso 1B | BAL,532,76,140,74,33,1,32,97,53,158,2,1,.263,.339,.509,355
W ,"Alec Burleson 1B,OF | STL",493,60,143,94,24,3,22,73,36,85,7,2,.290,.339,.485,345
W ,Jonathan Aranda 1B | TB ,503,75,151,97,32,1,21,83,56,134,2,0,.300,.381,.493,345
W ,Vinnie Pasquantino 1B | KC ,492,59,132,78,27,1,26,89,44,97,1,0,.268,.330,.486,342
W ,Spencer Steer 1B | CIN ,476,67,120,70,24,3,23,80,51,118,12,1,.252,.331,.460,340
W ,Spencer Horwitz 1B | PIT ,474,73,132,81,30,0,21,71,60,104,1,0,.279,.362,.475,333
W ,"Ben Rice C,1B | NYY",479,73,126,68,30,3,25,72,48,115,3,2,.263,.338,.495,331
W ,Nolan Schanuel 1B | LAA,487,65,130,86,28,1,15,60,54,94,5,1,.267,.347,.421,312
W ,"Miguel Vargas 1B,3B | CHW",455,72,117,67,28,4,18,60,46,99,6,1,.257,.331,.455,309
W ,Willson Contreras 1B | BOS,441,70,122,68,30,2,22,74,45,140,5,1,.277,.369,.503,306
W ,Sal Stewart 1B | CIN,471,66,123,75,23,1,24,74,46,124,5,1,.261,.331,.467,301
W ,"Ernie Clement 1B,2B,3B,SS | TOR",483,73,132,90,27,4,11,51,28,73,6,4,.273,.316,.414,298
W ,Christian Walker 1B | HOU ,507,67,131,79,25,1,26,83,43,149,2,1,.258,.326,.466,296
W ,"Josh H. Smith 1B,3B,SS,OF | TEX ",476,69,128,87,26,3,12,46,48,107,12,3,.269,.348,.412,296
