Free Agent Second Basemen  Season   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,Ketel Marte 2B | ARI,548,99,161,96,29,1,35,92,74,106,5,2,.294,.380,.542,476
W ,"Jazz Chisholm 2B,3B | NYY ",496,78,125,75,17,4,29,80,56,151,34,8,.252,.335,.478,401
W ,"Jose Altuve 2B,OF | HOU",549,80,159,108,27,1,23,71,52,106,14,6,.290,.355,.468,395
W ,"Brendan Donovan 2B,OF | SEA ",521,74,148,97,33,2,16,67,53,82,5,4,.284,.362,.447,369
W ,Brice Turang 2B | MIL,554,85,153,104,28,3,18,75,53,149,20,6,.276,.340,.435,362
W ,"Xavier Edwards 2B,SS | MIA ",503,72,148,117,21,6,4,45,51,91,31,7,.294,.360,.384,359
W ,Luke Keaschall 2B | MIN,475,62,131,87,30,1,13,63,41,91,21,6,.276,.341,.425,342
W ,Marcus Semien 2B | NYM ,493,74,123,80,22,2,19,74,52,104,12,2,.249,.323,.418,342
W ,Ozzie Albies 2B | ATL ,523,65,131,87,27,3,14,67,43,83,13,3,.251,.311,.394,339
W ,Jorge Polanco 2B | NYM ,490,66,129,75,30,0,24,80,45,103,6,3,.263,.325,.471,336
W ,"Ceddanne Rafaela 2B,OF | BOS",536,79,135,85,30,5,15,60,33,127,20,5,.252,.304,.410,328
W ,Brandon Lowe 2B | PIT ,527,78,138,83,24,1,30,82,46,149,5,3,.262,.323,.482,327
W ,"Otto Lopez 2B,SS | MIA ",487,63,127,88,21,1,17,72,42,93,14,6,.261,.323,.413,325
W ,Luis Garcia 2B | WAS,476,62,127,83,27,1,16,63,25,88,16,5,.267,.304,.429,312
W ,"Tyler Freeman 2B,OF | COL",416,61,118,87,22,4,5,40,49,73,20,7,.284,.375,.392,307
W ,Bryson Stott 2B | PHI,440,58,114,80,20,3,11,58,42,89,22,4,.259,.322,.393,306
W ,"Jose Caballero 2B,3B,SS,OF | NYY",376,57,91,58,23,1,9,47,41,115,44,11,.242,.324,.380,300
W ,"Ernie Clement 1B,2B,3B,SS | TOR",483,73,132,90,27,4,11,51,28,73,6,4,.273,.316,.414,298
W ,Gleyber Torres 2B | DET,495,68,130,92,24,0,14,61,61,108,4,1,.263,.344,.396,293
W ,"Andres Gimenez 2B,SS | TOR",473,62,113,82,18,2,11,58,30,97,19,3,.239,.300,.355,288
W ,"Jeff McNeil 2B,OF | ATH",442,52,113,69,27,4,13,55,41,73,5,1,.256,.324,.423,282
W ,"Chase Meidroth 2B,SS | CHW ",495,62,130,100,20,1,9,36,46,94,16,5,.263,.334,.362,280
W ,"Colt Keith 1B,2B,3B | DET",476,67,129,87,23,3,16,58,47,120,4,2,.271,.339,.433,271
W ,Tyler Fitzgerald 2B | SF ,464,64,124,81,25,3,15,48,33,134,20,8,.267,.324,.431,270
W ,Nick Gonzales 2B | PIT,504,59,143,100,27,6,10,54,29,98,3,2,.284,.326,.421,268
W ,Thairo Estrada 2B | BAL ,489,60,122,78,27,2,15,66,24,105,6,4,.249,.295,.405,266
W ,"Gavin Lux 2B,OF | TB ",472,59,132,90,30,2,10,60,52,115,3,1,.280,.352,.415,262
W ,Jackson Holliday 2B | BAL ,448,61,112,76,18,3,15,49,43,110,13,7,.250,.321,.404,261
W ,"Luis Rengifo 2B,3B | MIL",416,55,116,87,18,3,8,46,27,73,15,7,.279,.326,.394,260
W ,Jake Cronenworth 2B | SD,407,57,103,66,22,3,12,60,51,105,4,2,.253,.352,.410,254
W ,"Dylan Moore 1B,2B,3B,OF | PHI ",318,52,82,47,19,4,12,45,30,86,22,6,.258,.328,.456,251
W ,"Hye Seong Kim 2B,OF | LAD ",388,51,109,78,19,2,10,47,28,95,19,4,.281,.333,.417,250
W ,Christian Moore 2B | LAA ,473,61,111,66,22,8,15,51,46,139,11,2,.235,.308,.410,250
W ,"Brooks Lee 2B,3B,SS | MIN",480,53,117,81,20,2,14,57,34,99,6,2,.244,.294,.381,247
W ,"Kody Clemens 1B,2B,OF | MIN ",410,52,95,53,18,3,21,62,36,109,5,2,.232,.301,.444,242
W ,"Nick Loftin 2B,OF | KC ",379,47,96,56,20,7,13,49,34,85,8,2,.253,.319,.446,242
W ,"Jonathan India 2B,3B,OF | KC ",406,59,105,70,24,1,10,42,52,92,4,3,.259,.356,.397,242
W ,"Jordan Westburg 2B,3B | BAL ",402,64,110,71,18,2,19,54,24,106,3,3,.274,.326,.470,239
