Free Agent Third Basemen  Season   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,Jose Ramirez 3B | CLE ,553,97,162,96,32,4,30,84,64,88,36,8,.293,.372,.528,557
W ,Junior Caminero 3B | TB ,559,88,154,85,30,1,38,104,45,118,7,2,.276,.331,.537,442
W ,Manny Machado 3B | SD,578,89,168,102,36,0,30,104,46,133,12,3,.291,.344,.509,436
W ,Alex Bregman 3B | CHC,533,81,147,82,36,1,28,80,60,90,2,1,.276,.357,.505,414
W ,"Jazz Chisholm 2B,3B | NYY ",496,78,125,75,17,4,29,80,56,151,34,8,.252,.335,.478,401
W ,"Maikel Garcia 3B,SS | KC ",490,67,140,90,30,5,15,62,52,85,19,6,.286,.354,.459,374
W ,Matt Chapman 3B | SF ,463,83,120,64,29,2,25,69,61,128,10,4,.259,.352,.492,346
W ,Nolan Arenado 3B | ARI,495,69,127,84,22,2,19,73,42,77,3,1,.257,.317,.424,329
W ,"Carlos Correa 3B,SS | HOU ",516,71,162,115,29,2,16,64,50,104,1,0,.314,.375,.471,329
W ,Austin Riley 3B | ATL ,576,83,159,96,36,3,24,81,40,161,2,1,.276,.330,.474,328
W ,Caleb Durbin 3B | BOS ,440,58,118,74,29,2,13,54,28,75,18,6,.268,.341,.432,326
W ,Kazuma Okamoto 3B | TOR,480,69,127,81,25,2,19,69,43,103,8,2,.265,.331,.444,319
W ,Alec Bohm 3B | PHI,494,60,143,99,28,4,12,75,34,88,3,1,.289,.340,.435,311
W ,Max Muncy 3B | LAD,423,64,103,61,19,2,21,74,72,114,5,1,.243,.361,.447,309
W ,"Miguel Vargas 1B,3B | CHW",455,72,117,67,28,4,18,60,46,99,6,1,.257,.331,.455,309
W ,"Noelvi Marte 3B,OF | CIN ",430,63,117,64,25,3,25,70,27,119,13,4,.272,.321,.519,305
W ,"Jose Caballero 2B,3B,SS,OF | NYY",376,57,91,58,23,1,9,47,41,115,44,11,.242,.324,.380,300
W ,"Ernie Clement 1B,2B,3B,SS | TOR",483,73,132,90,27,4,11,51,28,73,6,4,.273,.316,.414,298
W ,"Addison Barger 3B,OF | TOR",482,67,122,67,31,2,22,73,44,127,5,1,.253,.319,.463,298
W ,Isaac Paredes 3B | HOU,405,54,109,68,19,2,20,61,55,78,1,0,.269,.368,.474,297
W ,"Josh H. Smith 1B,3B,SS,OF | TEX ",476,69,128,87,26,3,12,46,48,107,12,3,.269,.348,.412,296
