Free Agent Outfielders  Season   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,Aaron Judge OF | NYY,522,121,173,91,32,3,47,116,104,165,11,3,.331,.448,.674,568
W ,Juan Soto OF | NYM,533,113,150,85,25,3,37,97,106,126,23,4,.281,.400,.548,550
W ,Kyle Tucker OF | LAD ,527,101,149,93,27,4,25,81,100,100,24,4,.283,.400,.491,514
W ,Fernando Tatis Jr. OF | SD,566,110,164,100,31,3,30,77,67,135,27,6,.290,.372,.514,493
W ,George Springer OF | TOR ,545,107,155,91,26,3,35,87,67,132,16,2,.284,.370,.536,476
W ,Julio Rodriguez OF | SEA,581,92,166,97,32,10,27,91,43,136,26,6,.286,.345,.515,472
W ,Corbin Carroll OF | ARI ,548,101,146,77,29,11,29,81,63,148,28,7,.266,.346,.518,464
W ,Yordan Alvarez OF | HOU,522,72,161,97,31,2,31,87,76,103,6,1,.308,.399,.554,445
W ,Jackson Chourio OF | MIL ,589,94,163,91,39,7,26,89,34,141,20,6,.277,.317,.499,428
W ,Brent Rooker OF | ATH,559,90,161,89,35,4,33,99,58,153,8,2,.288,.359,.542,425
W ,Luis Robert OF | NYM ,524,87,134,84,25,0,25,84,53,160,43,12,.256,.327,.447,419
W ,Oneil Cruz OF | PIT,520,77,133,70,28,5,30,79,63,172,36,5,.256,.338,.502,415
W ,Ronald Acuna Jr. OF | ATL ,530,101,150,99,22,3,26,61,79,149,19,4,.283,.380,.483,407
W ,Jackson Merrill OF | SD,563,83,167,93,39,10,25,96,36,138,8,3,.297,.341,.535,403
W ,"Jose Altuve 2B,OF | HOU",549,80,159,108,27,1,23,71,52,106,14,6,.290,.355,.468,395
W ,Jarren Duran OF | BOS,550,80,151,87,36,13,15,68,48,140,24,6,.275,.343,.469,391
W ,Wyatt Langford OF | TEX ,502,80,131,77,28,3,23,72,72,150,23,6,.261,.358,.466,377
W ,Chandler Simpson OF | TB ,475,66,144,111,21,6,6,42,34,72,40,12,.303,.350,.410,375
W ,Lawrence Butler OF | ATH ,564,90,145,84,31,4,26,74,54,170,23,6,.257,.322,.465,374
W ,Randy Arozarena OF | SEA ,529,84,129,76,31,1,21,65,58,157,27,6,.244,.342,.425,373
W ,Kyle Stowers OF | MIA ,517,79,147,84,26,4,33,83,58,161,9,2,.284,.362,.542,372
W ,"Brendan Donovan 2B,OF | SEA ",521,74,148,97,33,2,16,67,53,82,5,4,.284,.362,.447,369
W ,Sal Frelick OF | MIL,542,79,150,107,23,5,15,67,45,102,17,5,.277,.336,.421,369
W ,Christian Yelich OF | MIL,547,82,143,90,22,1,30,96,56,167,14,4,.261,.334,.470,367
W ,Daulton Varsho OF | TOR ,553,92,133,68,26,8,31,95,46,164,8,3,.240,.303,.485,364
W ,Bryan Reynolds OF | PIT,555,74,157,93,35,4,25,84,54,149,6,2,.283,.354,.495,363
W ,"Tyler Soderstrom 1B,OF | ATH",519,76,145,86,30,2,27,87,47,139,8,4,.279,.350,.501,362
W ,Mickey Moniak OF | COL ,509,76,141,81,25,9,26,84,29,130,13,4,.277,.319,.515,360
W ,James Wood OF | WAS ,550,81,144,81,35,1,27,86,67,189,14,6,.262,.345,.476,348
W ,Seiya Suzuki OF | CHC ,531,70,142,75,34,4,29,87,60,166,8,3,.267,.342,.510,346
W ,"Alec Burleson 1B,OF | STL",493,60,143,94,24,3,22,73,36,85,7,2,.290,.339,.485,345
W ,Jakob Marsee OF | MIA,493,68,137,81,36,5,15,69,48,133,22,8,.278,.346,.463,344
W ,Riley Greene OF | DET ,548,81,149,84,32,2,31,95,50,175,3,1,.272,.337,.507,342
W ,Jung Hoo Lee OF | SF ,477,68,136,87,29,9,11,56,39,78,10,3,.285,.344,.453,334
W ,Ramon Laureano OF | SD ,485,73,141,84,32,4,21,81,32,129,10,5,.291,.344,.503,334
W ,Evan Carter OF | TEX ,456,67,115,72,23,5,15,59,46,111,24,5,.252,.331,.423,330
W ,Andrew Benintendi OF | CHW ,485,68,125,74,21,4,26,77,43,103,3,1,.258,.320,.478,329
W ,"Ceddanne Rafaela 2B,OF | BOS",536,79,135,85,30,5,15,60,33,127,20,5,.252,.304,.410,328
W ,Wilyer Abreu OF | BOS ,476,70,123,73,23,1,26,83,46,128,10,4,.258,.325,.475,326
W ,Taylor Ward OF | BAL ,454,72,118,62,28,2,26,83,56,127,4,2,.260,.342,.502,325
