Free Agent Relief Pitchers  Season   Projections Standard Categories
Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,HD,K,BB,H,ERA,WHIP,FPTS,
W ,Edwin Diaz RP | LAD ,68,68,0,0,0,2,3,39,7,3,97,23,37,2.12,0.88,377
W ,"Ryne Nelson SP,RP | ARI ",154,27,27,14,0,8,4,0,0,0,129,38,133,3.39,1.11,370
W ,Andres Munoz RP | SEA ,62,66,0,0,0,2,2,39,7,3,71,24,30,1.60,0.87,355
W ,Trevor Megill RP | MIL,70,74,0,0,0,2,2,35,6,3,79,21,47,2.31,0.97,345
W ,Aroldis Chapman RP | BOS,56,68,0,0,0,2,2,35,4,3,80,20,31,1.93,0.91,339
W ,Matt Svanson RP | STL ,107,76,0,0,0,9,3,1,0,11,127,37,61,2.02,0.92,335
W ,"Nick Martinez SP,RP | TB",150,26,26,12,0,12,7,0,0,0,119,31,135,4.14,1.11,334
W ,Jhoan Duran RP | PHI ,63,66,0,0,0,2,2,37,6,3,72,18,50,2.29,1.08,328
W ,"Jacob Latz SP,RP | TEX ",138,26,26,7,0,7,5,0,0,0,131,43,116,3.20,1.15,325
W ,Josh Hader RP | HOU ,57,61,0,0,0,2,2,31,2,3,76,17,31,2.53,0.84,318
W ,Kenley Jansen RP | DET,66,66,0,0,0,2,1,30,2,3,62,20,40,2.73,0.91,310
W ,Emilio Pagan RP | CIN,66,69,0,0,0,2,1,32,6,3,75,20,45,3.14,0.98,309
W ,Raisel Iglesias RP | ATL ,63,67,0,0,0,2,2,32,5,3,60,13,39,2.57,0.83,308
W ,David Bednar RP | NYY ,53,56,0,0,0,2,2,38,6,3,65,18,39,3.06,1.08,306
W ,"Joey Cantillo SP,RP | CLE ",135,26,26,4,0,7,8,0,0,0,152,53,118,3.53,1.27,302
W ,Daniel Palencia RP | CHC ,64,65,0,0,0,2,3,35,5,3,64,21,50,3.09,1.11,298
W ,Jeff Hoffman RP | TOR,60,68,0,0,0,2,2,36,9,3,78,21,46,3.75,1.12,294
W ,Kyle Leahy RP | STL ,153,29,29,11,0,7,10,0,0,0,139,44,155,4.06,1.30,293
W ,Devin Williams RP | NYM ,64,70,0,0,0,2,3,32,6,3,91,26,44,4.22,1.09,291
W ,Pete Fairbanks RP | MIA ,63,65,0,0,0,2,2,33,6,3,61,20,47,3.00,1.06,291
W ,Carlos Estevez RP | KC,62,66,0,0,0,2,2,32,5,3,48,17,40,2.32,0.92,291
W ,Cade Smith RP | CLE ,58,73,0,0,0,2,2,30,9,3,82,15,40,2.64,0.95,290
W ,Jose Urquidy RP | PIT ,140,26,26,10,0,7,9,0,0,0,137,44,135,3.92,1.28,288
W ,"Braxton Ashcraft SP,RP | PIT",128,26,26,6,0,7,7,0,0,0,129,40,116,3.38,1.22,288
W ,Cody Ponce RP | TOR,140,26,26,10,0,9,7,0,0,0,133,47,136,4.18,1.31,288
W ,Foster Griffin RP | WAS,156,29,29,11,0,7,10,0,0,0,148,51,166,4.27,1.39,282
W ,Dennis Santana RP | PIT,69,70,0,0,0,2,3,28,5,3,60,18,47,2.74,0.94,282
W ,Steven Matz RP | TB ,130,26,26,6,0,8,6,0,0,0,114,37,125,3.60,1.25,273
W ,Anthony Kay RP | CHW,145,27,27,10,0,7,9,0,0,0,138,56,144,4.16,1.38,271
W ,Bennett Sousa RP | HOU,90,83,0,0,0,9,2,1,0,15,105,27,66,2.80,1.03,270
W ,Ryan Walker RP | SF,58,66,0,0,0,2,2,32,10,3,62,15,47,3.26,1.07,258
W ,Reid Detmers RP | LAA ,137,26,26,7,0,8,11,0,0,0,167,52,145,4.86,1.44,257
W ,Griffin Jax RP | TB ,59,72,0,0,0,1,3,25,7,3,84,16,50,3.36,1.12,250
W ,Aaron Ashby RP | MIL,93,74,0,0,0,6,2,1,0,13,105,38,78,2.61,1.25,236
W ,Kirby Yates RP | LAA ,59,66,0,0,0,1,2,22,3,3,86,28,45,3.97,1.24,236
W ,Robert Garcia RP | TEX ,47,73,0,0,0,2,2,33,10,2,56,16,46,3.64,1.32,235
W ,"Brad Lord SP,RP | WAS",131,26,26,8,0,6,12,0,0,0,106,39,127,3.98,1.27,232
W ,Abner Uribe RP | MIL,70,75,0,0,0,3,1,9,2,37,75,27,45,2.06,1.03,226
W ,Bryan Abreu RP | HOU ,82,86,0,0,0,2,2,1,0,41,113,34,58,2.52,1.12,224
W ,Justin Sterner RP | ATH ,88,84,0,0,0,4,1,4,1,26,105,31,72,3.48,1.17,221
W ,Ryan Helsley RP | BAL ,65,67,0,0,0,1,3,23,5,3,73,26,62,3.74,1.35,221
W ,Riley O'Brien RP | STL ,66,75,0,0,0,1,3,24,7,3,69,36,54,3.00,1.36,220
W ,Luke Weaver RP | NYM,82,79,0,0,0,5,3,4,1,31,100,27,60,3.84,1.06,219
W ,"Taijuan Walker SP,RP | PHI",133,26,26,5,0,6,8,0,0,0,97,41,134,4.06,1.32,218
W ,Clayton Beeter RP | WAS ,61,61,0,0,0,1,2,24,7,3,93,48,39,5.02,1.43,215
W ,Cole Sulser RP | TB,87,68,0,0,0,4,4,1,0,9,83,32,69,2.17,1.16,214
