Free Agent Shortstops  Season   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,Bobby Witt SS | KC,580,100,182,105,43,8,26,87,53,125,33,10,.314,.375,.550,531
W ,Francisco Lindor SS | NYM ,583,107,161,96,35,1,29,83,58,125,26,5,.276,.349,.489,491
W ,Trea Turner SS | PHI ,605,101,185,128,32,6,19,77,39,123,33,7,.306,.353,.473,478
W ,Jeremy Pena SS | HOU ,560,83,174,114,35,4,21,74,43,112,23,3,.311,.372,.500,447
W ,Elly De La Cruz SS | CIN,545,94,149,87,30,8,24,79,58,173,41,9,.273,.345,.490,442
W ,Gunnar Henderson SS | BAL,538,92,154,94,32,5,23,73,62,138,25,5,.286,.365,.493,431
W ,Mookie Betts SS | LAD ,572,88,157,111,27,3,16,78,59,78,9,2,.275,.343,.416,415
W ,Jacob Wilson SS | ATH ,562,78,173,123,32,1,17,78,35,76,9,3,.308,.358,.459,407
W ,Corey Seager SS | TEX,541,85,150,90,27,0,33,78,77,124,3,1,.277,.373,.510,407
W ,Zachary Neto SS | LAA ,560,88,147,86,34,2,25,71,38,160,27,8,.263,.323,.464,384
W ,Willy Adames SS | SF ,531,86,136,78,26,1,31,89,62,153,14,4,.256,.336,.484,383
W ,Xander Bogaerts SS | SD,563,76,157,106,34,1,16,67,44,118,21,3,.279,.331,.428,374
W ,"Maikel Garcia 3B,SS | KC ",490,67,140,90,30,5,15,62,52,85,19,6,.286,.354,.459,374
W ,Bo Bichette SS | NYM,567,76,164,105,38,3,18,86,43,121,6,3,.289,.341,.462,364
W ,"Xavier Edwards 2B,SS | MIA ",503,72,148,117,21,6,4,45,51,91,31,7,.294,.360,.384,359
W ,Trevor Story SS | BOS ,505,71,138,94,25,0,19,75,28,146,26,3,.273,.319,.436,330
W ,"Carlos Correa 3B,SS | HOU ",516,71,162,115,29,2,16,64,50,104,1,0,.314,.375,.471,329
W ,"Otto Lopez 2B,SS | MIA ",487,63,127,88,21,1,17,72,42,93,14,6,.261,.323,.413,325
W ,Dansby Swanson SS | CHC,522,75,131,82,26,3,20,68,45,155,18,3,.251,.312,.427,310
W ,"Jose Caballero 2B,3B,SS,OF | NYY",376,57,91,58,23,1,9,47,41,115,44,11,.242,.324,.380,300
W ,"Ernie Clement 1B,2B,3B,SS | TOR",483,73,132,90,27,4,11,51,28,73,6,4,.273,.316,.414,298
W ,"Josh H. Smith 1B,3B,SS,OF | TEX ",476,69,128,87,26,3,12,46,48,107,12,3,.269,.348,.412,296
W ,Ezequiel Tovar SS | COL ,508,73,144,87,31,8,18,62,26,134,7,5,.283,.321,.482,292
W ,"Andres Gimenez 2B,SS | TOR",473,62,113,82,18,2,11,58,30,97,19,3,.239,.300,.355,288
W ,JJ Wetherholt SS | STL ,472,61,124,83,24,3,14,55,37,117,16,4,.263,.322,.415,282
W ,"Chase Meidroth 2B,SS | CHW ",495,62,130,100,20,1,9,36,46,94,16,5,.263,.334,.362,280
W ,Masyn Winn SS | STL,491,71,131,87,28,4,12,51,33,106,9,5,.267,.318,.413,279
W ,"Zach McKinstry 3B,SS,OF | DET",433,60,107,65,24,7,11,47,42,109,17,3,.247,.320,.411,272
W ,J.P. Crawford SS | SEA ,456,58,121,88,22,2,9,48,57,95,7,1,.265,.349,.382,265
W ,Ha-seong Kim SS | ATL ,385,51,93,62,17,2,12,45,46,92,18,5,.242,.326,.390,253
W ,Liover Peguero SS | PHI ,388,56,102,68,18,2,14,51,30,97,14,3,.263,.323,.428,251
W ,"Brooks Lee 2B,3B,SS | MIN",480,53,117,81,20,2,14,57,34,99,6,2,.244,.294,.381,247
