All First Basemen 2025  Season MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,Josh Naylor 1B | SEA ,543,81,160,110,29,1,20,92,48,83,30,2,.295,.353,.462,471
W ,Vladimir Guerrero Jr. 1B | TOR,589,96,172,115,34,0,23,84,81,94,6,3,.292,.381,.467,445
W ,Pete Alonso 1B | BAL,624,87,170,90,41,1,38,126,61,162,1,2,.272,.347,.524,435
W ,Vinnie Pasquantino 1B | KC ,621,72,164,98,33,1,32,113,49,107,1,0,.264,.323,.475,424
W ,Rafael Devers 1B | SF ,607,99,153,85,33,0,35,109,112,192,1,1,.252,.372,.479,423
W ,Yandy Diaz 1B | TB ,583,79,175,120,29,1,25,83,57,92,3,1,.300,.366,.482,422
W ,Luis Arraez 1B | SF,620,66,181,139,30,4,8,61,34,21,11,4,.292,.327,.392,412
W ,Matt Olson 1B | ATL ,624,98,170,98,41,2,29,95,91,176,1,0,.272,.366,.484,407
W ,Freddie Freeman 1B | LAD,556,81,164,99,39,2,24,90,60,128,6,2,.295,.367,.502,398
W ,Bryce Harper 1B | PHI,501,72,131,72,32,0,27,75,70,121,12,2,.262,.357,.487,376
W ,Michael Busch 1B | CHC,524,78,137,73,25,5,34,90,56,139,4,0,.262,.343,.523,373
W ,"Tyler Soderstrom 1B,OF | ATH",561,75,155,95,34,1,25,93,55,141,8,3,.276,.346,.474,365
W ,Nick Kurtz 1B | ATH,420,90,122,58,26,2,36,86,63,151,2,1,.290,.383,.619,335
W ,"Salvador Perez C,1B | KC",597,54,141,76,35,0,30,100,28,125,0,0,.236,.284,.446,333
W ,"Ben Rice C,1B | NYY",467,74,119,61,28,4,26,65,50,100,3,2,.255,.337,.499,328
W ,Spencer Torkelson 1B | DET ,563,82,135,76,27,1,31,78,72,169,2,1,.240,.333,.457,324
W ,"Alec Burleson 1B,OF | STL",497,54,144,98,26,2,18,69,39,79,5,1,.290,.343,.459,318
W ,"Ernie Clement 1B,2B,3B,SS | TOR",545,83,151,105,35,2,9,50,27,61,6,5,.277,.313,.398,311
W ,Nolan Schanuel 1B | LAA,488,64,129,93,23,1,12,53,59,71,5,1,.264,.353,.389,307
W ,"Miguel Vargas 1B,3B | CHW",504,80,118,68,32,2,16,60,56,100,6,0,.234,.316,.401,300
W ,Spencer Steer 1B | CIN ,509,66,121,77,21,2,21,75,51,129,7,1,.238,.312,.411,293
W ,"Ryan O'Hearn 1B,OF | PIT",474,67,133,94,21,1,17,63,58,109,3,1,.281,.366,.437,292
W ,Willson Contreras 1B | BOS,490,70,126,74,31,1,20,80,44,142,5,1,.257,.344,.447,290
W ,Josh Bell 1B | MIN,468,54,112,72,17,1,22,63,57,88,0,3,.239,.327,.421,279
W ,Christian Walker 1B | HOU ,585,72,139,87,24,1,27,88,40,177,2,1,.238,.297,.420,273
W ,"Josh H. Smith 1B,3B,SS,OF | TEX ",495,70,124,89,23,2,10,35,55,100,12,3,.251,.335,.366,270
W ,Paul Goldschmidt 1B | NYY,489,76,134,92,31,1,10,45,36,100,5,1,.274,.328,.403,262
W ,Kyle Manzardo 1B | CLE,470,47,110,62,19,2,27,70,48,135,2,0,.234,.313,.455,250
W ,Nate Lowe 1B | CIN ,540,64,123,79,23,3,18,84,62,159,1,0,.228,.307,.382,248
W ,"Lenyn Sosa 1B,2B | CHW",518,57,137,94,20,1,22,75,18,127,2,1,.265,.293,.434,233
