All Second Basemen 2025  Season MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
Austin Bats,Nico Hoerner 2B | CHC,599,89,178,138,29,4,7,61,39,49,29,6,.297,.345,.394,456
W ,Ketel Marte 2B | ARI,480,87,136,80,28,0,28,72,64,83,4,2,.283,.376,.517,395
W ,Brice Turang 2B | MIL,584,97,168,120,28,2,18,81,66,150,24,8,.288,.359,.435,394
W ,"Jose Altuve 2B,OF | HOU",588,80,156,105,24,1,26,77,55,109,10,6,.265,.329,.442,381
W ,Ozzie Albies 2B | ATL ,603,74,145,104,23,2,16,74,55,94,14,3,.240,.306,.365,368
W ,Jorge Polanco 2B | NYM ,471,64,125,69,30,0,26,78,42,82,6,3,.265,.326,.495,353
W ,Bryson Stott 2B | PHI,499,66,128,90,22,3,13,66,54,91,24,5,.257,.328,.391,350
W ,Gleyber Torres 2B | DET,532,79,136,98,22,0,16,74,85,101,4,1,.256,.358,.387,348
W ,"Jazz Chisholm 2B,3B | NYY ",462,75,112,65,15,1,31,80,58,148,31,8,.242,.332,.480,342
W ,"Xavier Edwards 2B,SS | MIA ",561,75,159,131,20,5,3,43,49,88,27,7,.283,.343,.353,334
W ,"Ceddanne Rafaela 2B,OF | BOS",546,84,136,82,34,4,16,63,28,117,20,5,.249,.294,.414,331
W ,"Otto Lopez 2B,SS | MIA ",544,66,134,98,21,0,15,77,44,82,15,6,.246,.305,.368,323
W ,"Ernie Clement 1B,2B,3B,SS | TOR",545,83,151,105,35,2,9,50,27,61,6,5,.277,.313,.398,311
W ,Luis Garcia 2B | WAS,488,67,123,78,28,1,16,66,27,84,14,5,.252,.289,.412,302
W ,"Brendan Donovan 2B,OF | SEA ",460,64,132,90,32,0,10,50,42,67,3,3,.287,.353,.422,288
W ,Jackson Holliday 2B | BAL ,586,70,142,101,21,3,17,55,56,140,17,11,.242,.314,.375,287
W ,Brandon Lowe 2B | PIT ,507,79,130,80,19,0,31,83,38,149,3,2,.256,.307,.477,286
W ,Marcus Semien 2B | NYM ,470,62,108,76,16,1,15,62,50,93,11,1,.230,.305,.364,285
