All Third Basemen 2025  Season MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,Jose Ramirez 3B | CLE ,593,103,168,101,34,3,30,85,66,74,44,7,.283,.360,.502,585
W ,"Maikel Garcia 3B,SS | KC ",595,81,170,110,39,5,16,74,62,84,23,9,.286,.351,.449,445
W ,Junior Caminero 3B | TB ,602,93,159,86,28,0,45,110,41,125,7,1,.264,.311,.535,428
W ,Manny Machado 3B | SD,615,91,169,109,33,0,27,95,55,131,14,3,.275,.335,.460,403
W ,Eugenio Suarez 3B | CIN,588,91,134,57,28,0,49,118,46,196,4,1,.228,.298,.525,361
W ,"Jazz Chisholm 2B,3B | NYY ",462,75,112,65,15,1,31,80,58,148,31,8,.242,.332,.480,342
W ,Caleb Durbin 3B | BOS ,445,60,114,78,25,0,11,53,30,50,18,6,.256,.334,.387,323
W ,"Ernie Clement 1B,2B,3B,SS | TOR",545,83,151,105,35,2,9,50,27,61,6,5,.277,.313,.398,311
W ,"Miguel Vargas 1B,3B | CHW",504,80,118,68,32,2,16,60,56,100,6,0,.234,.316,.401,300
W ,Alex Bregman 3B | CHC,433,64,118,72,28,0,18,62,51,70,1,1,.273,.360,.462,300
W ,"Zach McKinstry 3B,SS,OF | DET",452,68,117,71,23,11,12,49,46,111,19,5,.259,.333,.438,285
W ,Matt Chapman 3B | SF ,454,76,105,59,23,2,21,61,71,126,9,4,.231,.340,.429,280
W ,"Josh H. Smith 1B,3B,SS,OF | TEX ",495,70,124,89,23,2,10,35,55,100,12,3,.251,.335,.366,270
W ,"Jose Caballero 2B,3B,SS,OF | NYY",314,52,74,50,18,1,5,36,47,98,49,11,.236,.339,.347,263
W ,"Addison Barger 3B,OF | TOR",460,61,112,58,32,1,21,74,36,121,4,1,.243,.301,.454,255
W ,Alec Bohm 3B | PHI,464,53,133,101,18,3,11,59,29,82,2,0,.287,.331,.409,250
W ,Isaac Paredes 3B | HOU,378,53,96,60,15,1,20,53,50,76,0,1,.254,.352,.458,250
W ,"Carlos Correa 3B,SS | HOU ",537,63,148,106,29,0,13,52,45,113,0,0,.276,.332,.402,240
W ,Max Muncy 3B | LAD,313,48,76,45,10,2,19,67,64,83,4,0,.243,.376,.470,239
W ,Matt Shaw 3B | CHC ,393,57,89,52,21,3,13,44,38,94,17,5,.227,.295,.394,234
W ,Nolan Arenado 3B | ARI,401,48,95,64,18,1,12,52,28,49,3,0,.237,.289,.377,232
W ,"Brooks Lee 2B,3B,SS | MIN",487,50,115,83,15,1,16,64,31,92,3,1,.236,.285,.370,225
W ,"Colt Keith 1B,2B,3B | DET",414,65,106,69,22,2,13,45,48,102,1,1,.256,.333,.413,219
W ,Ke'Bryan Hayes 3B | CIN,527,50,124,100,16,3,5,49,36,111,12,3,.235,.290,.305,213
W ,"Jonathan India 2B,3B,OF | KC ",497,63,116,78,29,0,9,45,54,106,0,4,.233,.323,.346,211
W ,"Brett Baty 2B,3B | NYM",393,53,100,67,13,2,18,50,33,108,8,0,.255,.313,.435,209
W ,"Miguel Andujar 3B,OF | SD",321,36,102,74,17,1,10,44,17,49,1,0,.318,.352,.470,201
W ,Josh Jung 3B | TEX ,482,53,121,83,23,1,14,61,27,129,4,1,.251,.293,.390,199
W ,Royce Lewis 3B | MIN,376,36,89,58,18,0,13,52,25,80,12,2,.237,.283,.388,199
W ,"Noelvi Marte 3B,OF | CIN ",339,45,89,56,17,2,14,51,16,85,10,3,.263,.300,.448,199
W ,"Luis Rengifo 2B,3B | MIL",501,55,119,91,16,3,9,43,33,104,10,7,.237,.287,.335,197
W ,"Isiah Kiner-Falefa 3B,SS | BOS ",431,45,113,88,21,2,2,40,17,77,15,4,.262,.297,.334,197
W ,"Willi Castro 2B,3B,OF | COL",402,58,91,60,17,3,11,33,40,111,10,4,.226,.314,.366,192
W ,"Javier Sanoja 2B,3B,OF | MIA",313,40,76,44,22,4,6,38,19,41,6,5,.243,.287,.396,189
W ,"Jordan Westburg 2B,3B | BAL ",328,59,87,59,10,1,17,41,17,80,1,2,.265,.312,.457,188
W ,Mark Vientos 3B | NYM ,424,44,99,59,21,2,17,61,30,115,1,0,.234,.289,.413,187
W ,"Mauricio Dubon 2B,3B,SS,OF | ATL",369,43,89,61,21,0,7,33,24,42,3,0,.241,.289,.355,187
W ,"Javier Baez 3B,SS,OF | DET ",417,55,107,75,17,3,12,57,10,109,5,1,.257,.282,.398,183
W ,Ryan McMahon 3B | NYY ,509,62,109,65,23,1,20,53,70,189,3,1,.214,.312,.381,182
W ,Austin Riley 3B | ATL ,416,54,108,71,20,1,16,54,27,128,2,1,.260,.309,.428,171
