All Outfielders 2025  Season MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,Juan Soto OF | NYM,577,120,152,88,20,1,43,105,127,137,38,4,.263,.396,.525,629
W ,Aaron Judge OF | NYY,541,137,179,94,30,2,53,114,124,160,12,5,.331,.457,.688,623
W ,Corbin Carroll OF | ARI ,564,107,146,66,32,17,31,84,67,153,32,6,.259,.343,.541,505
W ,Fernando Tatis Jr. OF | SD,594,111,159,105,27,2,25,71,89,129,32,7,.268,.368,.446,496
W ,Julio Rodriguez OF | SEA,652,106,174,107,31,4,32,95,44,152,30,6,.267,.324,.474,490
W ,George Springer OF | TOR ,498,106,154,94,27,1,32,84,69,111,18,1,.309,.399,.560,486
Cardinal and Gold,Cody Bellinger OF | NYY,588,89,160,101,25,5,29,98,57,90,13,2,.272,.334,.480,469
W ,Kyle Tucker OF | LAD ,500,91,133,82,25,4,22,73,87,88,25,3,.266,.377,.464,465
Swing and a Miss 2020,Pete Crow-Armstrong OF | CHC,591,91,146,74,37,4,31,95,29,155,35,8,.247,.287,.480,446
Cardinal and Gold,Byron Buxton OF | MIN ,488,97,129,66,21,7,35,83,41,148,24,0,.264,.327,.551,417
W ,Brent Rooker OF | ATH,626,92,164,91,40,3,30,89,65,155,6,1,.262,.335,.479,411
Sofa Kings,Steven Kwan OF | CLE ,625,81,170,129,29,1,11,56,55,60,21,5,.272,.330,.374,411
W ,Randy Arozarena OF | SEA ,613,95,146,86,32,1,27,76,64,191,31,6,.238,.334,.426,409
W ,Jarren Duran OF | BOS,620,86,159,89,41,13,16,84,60,169,24,6,.257,.332,.442,399
W ,Christian Yelich OF | MIL,573,88,151,101,21,0,29,103,64,167,16,6,.264,.343,.452,393
W ,Jackson Chourio OF | MIL ,549,88,148,88,35,4,21,78,30,121,21,7,.270,.308,.463,384
