All Starting Pitchers 2025  Season MLB Standard Categories
Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,HD,K,BB,H,ERA,WHIP,FPTS,
W ,Garrett Crochet SP | BOS ,205.1,32,32,22,1,18,5,0,0,0,255,46,165,2.59,1.03,680
W ,Tarik Skubal SP | DET ,195.1,31,31,21,1,13,6,0,0,0,241,33,141,2.21,0.89,662
Bushwood CC,Cristopher Sanchez SP | PHI,202.0,32,32,22,1,13,5,0,0,0,212,44,171,2.50,1.06,601
W ,Paul Skenes SP | PIT,187.2,32,32,20,1,10,10,0,0,0,216,42,136,1.97,0.95,593
W ,Bryan Woo SP | SEA,186.2,30,30,21,0,15,7,0,0,0,198,36,137,2.94,0.93,576
Ireland,Max Fried SP | NYY ,195.1,32,32,20,0,19,5,0,0,0,189,51,164,2.86,1.10,566
W ,Hunter Brown SP | HOU ,185.1,31,31,21,1,12,9,0,0,0,206,57,133,2.43,1.03,561
W ,Carlos Rodon SP | NYY ,195.1,33,33,18,0,18,9,0,0,0,203,73,132,3.09,1.05,558
Sarre,Nick Pivetta SP | SD,181.2,31,31,19,0,13,5,0,0,0,190,50,129,2.87,0.99,544
W ,Logan Webb SP | SF,207.0,34,34,22,0,15,11,0,0,0,224,46,210,3.22,1.24,543
W ,Yoshinobu Yamamoto SP | LAD ,173.2,30,30,18,0,12,8,0,0,0,201,59,113,2.49,0.99,541
MeShe,Freddy Peralta SP | NYM ,176.2,33,33,13,0,17,6,0,0,0,204,66,124,2.70,1.08,535
W ,Jacob deGrom SP | TEX,172.2,30,30,14,0,12,8,0,0,0,185,37,122,2.97,0.92,505
W ,Zack Wheeler SP | PHI ,149.2,24,24,16,1,10,5,0,0,0,195,33,107,2.71,0.94,489
Sofa Kings,Jesus Luzardo SP | PHI ,183.2,32,32,18,0,15,7,0,0,0,216,57,167,3.92,1.22,488
W ,Kevin Gausman SP | TOR ,193.0,32,32,16,1,10,11,0,0,0,189,50,155,3.59,1.06,471
W ,Joe Ryan SP | MIN ,171.0,31,30,14,0,13,10,0,0,0,194,39,138,3.42,1.04,465
