All Shortstops 2025  Season MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
MeShe,Geraldo Perdomo SS | ARI ,597,98,173,115,33,5,20,100,94,83,27,6,.290,.389,.462,534
W ,Bobby Witt SS | KC,623,99,184,108,47,6,23,88,49,125,38,9,.295,.351,.501,516
W ,Francisco Lindor SS | NYM ,644,117,172,106,35,0,31,86,65,131,31,6,.267,.346,.466,514
W ,Trea Turner SS | PHI ,589,94,179,126,31,7,15,69,43,107,36,7,.304,.355,.457,458
W ,"Maikel Garcia 3B,SS | KC ",595,81,170,110,39,5,16,74,62,84,23,9,.286,.351,.449,445
W ,Mookie Betts SS | LAD ,589,95,152,107,23,2,20,82,61,68,8,2,.258,.326,.406,420
W ,Gunnar Henderson SS | BAL,577,85,158,102,34,5,17,68,62,137,30,5,.274,.349,.439,407
W ,Elly De La Cruz SS | CIN,629,102,166,106,31,7,22,86,67,181,37,8,.264,.336,.440,404
W ,Bo Bichette SS | NYM,582,78,181,118,44,1,18,94,40,91,4,3,.311,.357,.483,390
Austin Bats,C.J. Abrams SS | WAS,580,92,149,90,35,5,19,60,37,125,31,3,.257,.316,.433,375
W ,Trevor Story SS | BOS ,612,91,161,107,29,0,25,96,33,176,31,1,.263,.308,.433,370
W ,Jeremy Pena SS | HOU ,493,68,150,101,30,2,17,62,35,93,20,2,.304,.363,.477,359
W ,Willy Adames SS | SF ,591,94,133,79,22,2,30,87,80,179,12,4,.225,.318,.421,336
W ,"Xavier Edwards 2B,SS | MIA ",561,75,159,131,20,5,3,43,49,88,27,7,.283,.343,.353,334
W ,Jacob Wilson SS | ATH ,486,62,151,112,26,0,13,63,27,39,5,2,.311,.355,.444,333
W ,Zachary Neto SS | LAA ,502,82,129,73,29,1,26,62,33,149,26,9,.257,.319,.474,327
W ,Dansby Swanson SS | CHC,590,84,144,93,24,3,24,77,47,168,20,3,.244,.300,.417,323
W ,"Otto Lopez 2B,SS | MIA ",544,66,134,98,21,0,15,77,44,82,15,6,.246,.305,.368,323
W ,"Ernie Clement 1B,2B,3B,SS | TOR",545,83,151,105,35,2,9,50,27,61,6,5,.277,.313,.398,311
W ,Xander Bogaerts SS | SD,491,63,129,88,30,0,11,53,48,94,20,2,.263,.329,.391,308
W ,J.P. Crawford SS | SEA ,570,69,151,115,24,0,12,58,74,122,8,1,.265,.352,.370,290
W ,"Zach McKinstry 3B,SS,OF | DET",452,68,117,71,23,11,12,49,46,111,19,5,.259,.333,.438,285
W ,Corey Seager SS | TEX,380,61,103,63,19,0,21,50,58,87,2,0,.271,.373,.487,270
W ,"Josh H. Smith 1B,3B,SS,OF | TEX ",495,70,124,89,23,2,10,35,55,100,12,3,.251,.335,.366,270
W ,"Jose Caballero 2B,3B,SS,OF | NYY",314,52,74,50,18,1,5,36,47,98,49,11,.236,.339,.347,263
W ,Masyn Winn SS | STL,491,72,124,88,27,0,9,51,34,102,9,5,.253,.310,.362,257
W ,Anthony Volpe SS | NYY ,539,65,114,59,32,4,19,72,43,150,18,8,.211,.272,.392,253
W ,"Carlos Correa 3B,SS | HOU ",537,63,148,106,29,0,13,52,45,113,0,0,.276,.332,.402,240
W ,Joseph Ortiz SS | MIL,470,62,108,82,18,1,7,45,27,74,14,3,.230,.276,.317,233
W ,"Brooks Lee 2B,3B,SS | MIN",487,50,115,83,15,1,16,64,31,92,3,1,.236,.285,.370,225
W ,"Chase Meidroth 2B,SS | CHW ",450,54,114,94,15,0,5,23,45,72,14,4,.253,.329,.320,214
W ,"Isiah Kiner-Falefa 3B,SS | BOS ",431,45,113,88,21,2,2,40,17,77,15,4,.262,.297,.334,197
W ,"Mauricio Dubon 2B,3B,SS,OF | ATL",369,43,89,61,21,0,7,33,24,42,3,0,.241,.289,.355,187
W ,"Javier Baez 3B,SS,OF | DET ",417,55,107,75,17,3,12,57,10,109,5,1,.257,.282,.398,183
W ,"Andres Gimenez 2B,SS | TOR",329,39,69,50,11,1,7,35,25,66,12,2,.210,.285,.313,175
W ,"Jared Triolo 1B,3B,SS | PIT",331,41,75,48,18,2,7,24,39,76,13,2,.227,.311,.356,169
Bushwood CC,Colson Montgomery SS | CHW ,255,43,61,30,9,1,21,55,25,83,0,0,.239,.311,.529,165
W ,"Miguel Rojas 2B,3B,SS | LAD",290,35,76,51,18,0,7,27,24,46,5,0,.262,.319,.397,162
W ,Taylor Walls SS | TB,282,36,62,43,14,1,4,38,26,70,14,6,.220,.280,.319,146
W ,"Brayan Rocchio 2B,SS | CLE",344,34,80,55,18,2,5,44,22,77,8,4,.233,.290,.340,144
W ,Ezequiel Tovar SS | COL ,360,44,91,60,18,4,9,33,21,98,5,3,.253,.294,.400,139
W ,"Jose Iglesias 2B,3B,SS | SD ",306,29,70,56,11,0,3,36,24,56,5,1,.229,.298,.294,134
W ,"Edmundo Sosa 2B,3B,SS | PHI",243,30,67,43,12,1,11,39,10,56,1,1,.276,.307,.469,133
W ,"Gabriel Arias 2B,SS | CLE",432,44,95,57,25,2,11,54,27,162,8,4,.220,.275,.363,119
W ,Ha-seong Kim SS | ATL ,171,19,40,31,4,0,5,17,16,39,6,2,.234,.304,.345,90
W ,Nick Allen SS | HOU,371,32,82,71,11,0,0,22,31,99,8,7,.221,.284,.251,87
W ,"Max Schuemann 2B,3B,SS | NYY",183,20,36,28,4,2,2,13,22,35,7,1,.197,.295,.273,86
W ,Trey Sweeney SS | DET ,296,36,58,44,6,2,6,32,26,92,3,1,.196,.258,.290,84
W ,"Christian Koss 2B,SS | SF ",174,25,46,34,9,0,3,23,9,45,4,1,.264,.308,.368,76
W ,"Darell Hernaiz 3B,SS | ATH",173,17,40,32,5,1,2,16,17,24,3,4,.231,.292,.306,74
W ,Nasim Nunez SS | WAS,82,13,19,13,2,0,4,13,8,20,9,1,.232,.297,.402,73
W ,"Ezequiel Duran 1B,2B,SS | TEX",205,16,46,32,14,0,0,14,8,55,11,2,.224,.266,.293,72
W ,"Thomas Saggese 2B,3B,SS | STL",275,25,71,53,16,0,2,25,16,83,3,0,.258,.299,.338,72
W ,"Andruw Monasterio 1B,SS | BOS ",126,19,34,21,9,0,4,16,7,32,2,1,.270,.319,.436,70
W ,"Ryan Ritter 2B,SS | COL ",187,22,45,32,9,3,1,18,10,61,3,1,.241,.296,.337,53
W ,Liover Peguero SS | PHI ,80,9,16,11,1,0,4,8,6,25,4,0,.200,.273,.362,41
W ,"Vidal Brujan 3B,SS | NYM",87,14,22,17,5,0,0,8,6,21,2,1,.253,.305,.310,34
W ,"Orlando Arcia 2B,3B,SS | MIN ",203,13,41,30,7,1,3,13,10,47,0,1,.202,.238,.291,33
W ,Luke Williams SS | ATL ,31,5,4,2,2,0,0,5,1,9,5,0,.129,.176,.194,22
W ,Zack Short SS | NYY ,50,9,11,7,2,0,2,7,4,18,0,1,.220,.291,.380,17
W ,Carson Williams SS | TB ,99,11,17,9,3,0,5,12,6,44,2,1,.172,.219,.353,15
W ,Jacob Amaya SS | ARI ,66,7,7,6,1,0,0,8,3,16,2,0,.106,.139,.121,14
W ,Mason McCoy SS | SD,22,5,3,2,1,0,0,1,3,7,2,0,.136,.269,.182,11
W ,Alan Trejo SS | COL ,40,3,7,5,2,0,0,1,1,7,0,0,.175,.191,.225,3
W ,"Tim Anderson 2B,SS | LAA",83,8,17,14,3,0,0,3,3,29,1,1,.205,.258,.241,2
W ,Nick Ahmed SS | TEX,9,1,0,0,0,0,0,0,1,3,1,0,.000,.100,.000,2
W ,Jonathan Ornelas SS | NYY ,9,1,2,2,0,0,0,0,1,3,0,0,.222,.300,.222,1
W ,Cameron Cauley SS | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jakey Josepha SS | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jack Pineda SS | KC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Kleimir Lemos SS | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Miguel Pabon SS | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Beau Brundage SS | TB ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Milan Tolentino SS | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Yairo Padilla SS | STL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Nicholas Shumpert SS | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Quincy McAfee SS | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jorma Rodriguez SS | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Hector Nieves SS | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ronny Rojas SS | NYY ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,David Masters SS | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Bobby Honeyman SS | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Yeyson Yrizarri SS | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Channy Ortiz SS | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Joab Gonzalez SS | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Luke Waddell SS | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
