All First Basemen 3 Year Averages MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,Freddie Freeman 1B | LAD,578,98,176,105,44,2,25,94,70,116,13,2,.304,.387,.517,487
W ,Vladimir Guerrero Jr. 1B | TOR,602,91,177,115,36,0,26,94,73,97,4,3,.294,.375,.483,448
W ,Matt Olson 1B | ATL ,611,101,163,89,35,2,37,111,89,171,1,0,.267,.363,.512,440
W ,Josh Naylor 1B | SEA ,519,72,145,93,29,0,23,99,46,85,15,2,.279,.341,.468,411
W ,Pete Alonso 1B | BAL,600,90,146,75,31,1,39,111,65,162,3,1,.243,.330,.493,408
W ,Luis Arraez 1B | SF,610,73,195,154,31,3,7,59,31,28,8,3,.320,.355,.415,404
W ,Rafael Devers 1B | SF ,571,92,151,83,34,2,32,97,80,155,3,1,.264,.359,.499,392
W ,Bryce Harper 1B | PHI,503,80,141,81,34,0,26,78,75,126,10,3,.280,.376,.503,385
W ,Yandy Diaz 1B | TB ,557,76,169,116,32,1,20,75,57,94,1,1,.303,.372,.472,377
W ,Spencer Steer 1B | CIN ,555,71,136,81,31,3,21,84,64,135,16,2,.245,.330,.425,362
W ,Christian Walker 1B | HOU ,549,77,136,77,29,1,29,92,52,146,5,1,.248,.320,.463,347
W ,Nick Kurtz 1B | ATH,420,90,122,58,26,2,36,86,63,151,2,1,.290,.383,.619,335
W ,"Salvador Perez C,1B | KC",575,57,146,91,28,0,27,95,30,130,0,0,.254,.302,.444,313
W ,Paul Goldschmidt 1B | NYY,560,78,147,95,32,1,19,63,57,145,9,1,.263,.333,.425,312
W ,Vinnie Pasquantino 1B | KC ,449,53,117,69,27,1,20,79,38,70,1,0,.261,.320,.459,309
W ,Carlos Santana 1B | ARI,495,63,116,74,23,0,19,70,61,98,6,0,.234,.320,.396,303
W ,Nate Lowe 1B | CIN ,550,72,138,93,26,2,17,78,75,150,1,0,.251,.343,.398,291
W ,"Alec Burleson 1B,OF | STL",453,53,123,84,22,1,16,61,32,67,6,2,.272,.321,.430,289
W ,Josh Bell 1B | MIN,518,56,127,82,23,1,21,69,57,114,0,2,.245,.323,.415,275
