All Second Basemen 3 Year Averages MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
Austin Bats,Nico Hoerner 2B | CHC,600,91,171,130,30,3,8,59,44,66,34,6,.285,.343,.385,452
W ,Ketel Marte 2B | ARI,518,91,147,87,26,4,30,83,67,99,6,2,.284,.368,.523,423
W ,Marcus Semien 2B | NYM ,597,95,149,97,28,2,22,79,62,103,11,2,.250,.322,.414,405
W ,"Jose Altuve 2B,OF | HOU",525,83,151,104,25,1,21,64,49,100,15,5,.288,.353,.459,370
W ,Bryson Stott 2B | PHI,530,70,139,100,24,2,13,62,49,95,29,4,.262,.325,.389,369
W ,Ozzie Albies 2B | ATL ,533,74,137,87,27,3,20,79,43,89,12,2,.257,.316,.431,369
W ,Gleyber Torres 2B | DET,572,83,150,105,25,1,19,68,72,112,7,3,.262,.344,.409,340
W ,Brice Turang 2B | MIL,516,72,133,100,20,3,10,57,51,116,33,6,.258,.325,.366,332
W ,"Jazz Chisholm 2B,3B | NYY ",459,66,115,72,16,2,25,68,46,139,31,7,.251,.322,.458,321
W ,Luis Garcia 2B | WAS,478,62,128,88,24,2,14,62,27,77,15,5,.268,.305,.414,297
W ,"Andres Gimenez 2B,SS | TOR",490,60,119,87,20,2,10,53,28,92,24,4,.243,.302,.353,293
W ,"Jonathan India 2B,3B,OF | KC ",495,75,120,78,27,1,14,55,62,113,9,3,.242,.341,.386,291
W ,"Brendan Donovan 2B,OF | SEA ",458,59,129,91,25,1,12,52,41,67,4,3,.282,.352,.419,290
W ,"Jeff McNeil 2B,OF | ATH",469,58,119,81,24,3,11,51,41,63,6,0,.254,.328,.388,285
W ,"Otto Lopez 2B,SS | MIA ",474,58,122,90,22,0,10,58,34,78,18,5,.257,.309,.367,277
W ,Jake Cronenworth 2B | SD,485,62,116,75,24,4,13,63,59,107,5,2,.239,.333,.386,277
W ,"Willi Castro 2B,3B,OF | COL",439,69,107,70,22,4,11,42,42,120,19,6,.244,.329,.387,259
W ,Brandon Lowe 2B | PIT ,423,64,104,61,18,1,24,70,40,127,5,1,.246,.314,.463,251
W ,"Jose Caballero 2B,3B,SS,OF | NYY",329,47,75,51,17,1,6,35,34,99,40,10,.228,.317,.340,229
W ,"Colt Keith 1B,2B,3B | DET",465,60,120,86,18,3,13,53,42,106,4,1,.258,.320,.394,227
W ,Jorge Polanco 2B | NYM ,397,48,97,58,20,0,19,57,41,102,5,2,.244,.318,.438,226
W ,"Mauricio Dubon 2B,3B,SS,OF | ATL",413,55,109,77,24,1,7,42,20,56,4,1,.264,.299,.378,216
W ,"Luis Rengifo 2B,3B | MIL",393,50,103,75,15,3,10,41,30,77,13,6,.262,.319,.392,215
W ,"Chase Meidroth 2B,SS | CHW ",450,54,114,94,15,0,5,23,45,72,14,4,.253,.329,.320,214
W ,"Gavin Lux 2B,OF | TB ",442,54,115,79,26,2,8,52,50,112,3,1,.260,.335,.382,208
W ,"Tommy Edman 2B,OF | LAD ",321,46,77,50,14,2,11,39,22,58,12,2,.240,.295,.399,206
W ,"Ceddanne Rafaela 2B,OF | BOS",391,55,97,62,21,3,11,48,16,99,14,5,.248,.285,.402,205
W ,"Xavier Edwards 2B,SS | MIA ",301,42,90,74,12,3,1,24,28,51,21,4,.299,.358,.369,202
W ,"Ernie Clement 1B,2B,3B,SS | TOR",343,46,95,67,19,2,7,37,13,35,6,3,.277,.305,.405,199
W ,"Adam Frazier 2B,OF | LAA ",364,46,88,62,17,1,8,42,27,69,7,3,.242,.303,.360,193
W ,"Miguel Rojas 2B,3B,SS | LAD",327,42,85,61,18,0,6,31,24,43,7,2,.260,.315,.370,189
W ,"Jordan Westburg 2B,3B | BAL ",317,47,84,50,18,3,13,42,18,78,4,2,.265,.313,.464,183
W ,"Tyler Freeman 2B,OF | COL",287,39,71,52,14,1,4,27,24,45,11,5,.247,.326,.345,177
W ,"Amed Rosario 2B,3B | NYY",341,40,92,65,18,4,5,38,15,68,10,2,.270,.305,.390,175
W ,Jackson Holliday 2B | BAL ,388,49,89,64,12,2,11,39,36,104,10,6,.229,.301,.356,174
W ,Whit Merrifield 2B | ATL,280,37,71,53,12,1,5,27,24,51,14,4,.254,.315,.357,171
W ,Thairo Estrada 2B | BAL ,338,40,84,57,17,1,9,39,13,74,9,4,.248,.287,.385,167
W ,Michael Massey 2B | KC ,341,36,83,56,15,1,11,40,16,66,3,1,.243,.280,.390,164
W ,"Nolan Gorman 2B,3B | STL ",374,50,81,46,15,0,20,57,45,145,5,1,.217,.300,.417,162
W ,Matt McLain 2B | CIN ,292,46,73,48,14,1,10,33,29,94,11,2,.250,.325,.407,160
W ,"Orlando Arcia 2B,3B,SS | MIN ",414,43,97,66,19,0,12,41,30,92,1,0,.234,.287,.367,159
W ,"Jose Iglesias 2B,3B,SS | SD ",288,34,80,62,14,0,4,31,18,48,6,2,.278,.335,.368,157
W ,Luke Keaschall 2B | MIN,182,25,55,37,14,0,4,28,19,29,14,3,.302,.382,.445,156
W ,"Ramon Urias 2B,3B | STL ",328,39,83,56,16,2,9,41,26,81,2,1,.253,.314,.396,155
W ,"Brooks Lee 2B,3B,SS | MIN",330,30,76,55,10,1,10,46,21,60,3,0,.230,.277,.358,152
W ,"Enrique Hernandez 1B,2B,3B,OF | LAD ",353,44,80,53,16,0,11,46,26,81,1,0,.227,.278,.365,146
W ,"Dylan Moore 1B,2B,3B,OF | PHI ",244,35,49,26,12,2,9,29,30,87,18,5,.201,.300,.377,144
W ,"Santiago Espinal 2B,3B,OF | LAD ",296,29,73,56,13,0,4,29,21,43,5,1,.247,.299,.331,138
W ,"Lenyn Sosa 1B,2B | CHW",344,32,86,61,13,0,12,41,12,81,2,1,.250,.278,.392,132
W ,Zack Gelof 2B | ATH ,286,37,64,38,14,1,11,29,24,105,13,2,.224,.287,.395,129
W ,"Kyle Farmer 1B,2B | ATL ",276,33,65,42,14,1,8,34,20,67,2,3,.235,.299,.380,128
W ,"Davis Schneider 2B,OF | TOR",234,35,51,27,12,1,11,32,35,82,3,0,.218,.327,.419,127
W ,"Josh Rojas 2B,3B | KC ",308,36,69,48,15,1,5,27,31,79,9,2,.224,.294,.328,126
W ,"Edmundo Sosa 2B,3B,SS | PHI",257,34,67,43,13,2,9,33,10,65,4,1,.261,.302,.432,126
W ,"Angel Martinez 2B,OF | CLE ",298,36,68,45,15,1,7,28,19,72,6,2,.228,.279,.356,124
W ,Nick Gonzales 2B | PIT,285,31,73,51,15,2,5,31,15,61,2,2,.256,.300,.375,119
W ,"Max Schuemann 2B,3B,SS | NYY",290,38,62,48,9,1,4,24,34,77,10,1,.214,.307,.293,119
W ,Ildemaro Vargas 2B | ARI ,216,22,55,41,10,1,3,27,13,22,3,2,.255,.300,.352,117
W ,"Brett Baty 2B,3B | NYM",300,36,70,50,9,1,10,33,26,86,3,0,.233,.298,.370,117
W ,DJ LeMahieu 2B | NYY,275,29,65,48,10,1,6,27,31,65,1,1,.236,.313,.345,116
W ,"Ezequiel Duran 1B,2B,SS | TEX",293,32,75,52,16,1,6,27,15,79,7,3,.256,.300,.379,116
W ,"Romy Gonzalez 1B,2B | BOS ",202,28,56,36,12,2,6,32,11,58,8,3,.277,.313,.446,115
W ,"Daniel Schneemann 2B,3B,OF | CLE ",286,32,60,36,14,2,8,32,32,94,6,2,.210,.292,.357,114
W ,David Hamilton 2B | MIL ,168,25,37,23,8,1,5,16,14,46,19,4,.220,.284,.369,113
W ,Brandon Drury 2B | KC ,270,30,61,38,12,1,10,33,17,72,0,1,.226,.279,.389,112
W ,"Brayan Rocchio 2B,SS | CLE",269,31,60,41,14,1,4,29,23,65,6,3,.223,.292,.327,108
W ,"Edouard Julien 1B,2B | COL",262,36,61,40,12,0,9,23,40,97,3,1,.233,.338,.382,104
W ,"Kody Clemens 1B,2B,OF | MIN ",200,26,44,24,9,2,9,28,14,54,2,0,.220,.277,.420,102
W ,Brendan Rodgers 2B | BOS ,265,33,67,46,14,1,6,28,18,73,0,0,.253,.307,.381,102
W ,"Javier Sanoja 2B,3B,OF | MIA",174,22,42,25,12,2,3,20,10,22,3,2,.241,.283,.385,101
W ,Cole Young 2B | SEA,223,24,47,35,7,1,4,24,28,47,1,0,.211,.302,.305,94
W ,"Casey Schmitt 1B,2B,3B | SF",224,24,51,32,11,0,8,29,15,58,1,0,.228,.286,.384,89
W ,Tyler Fitzgerald 2B | SF ,188,25,47,29,10,1,7,18,14,63,9,3,.250,.307,.425,88
W ,"Tim Tawa 1B,2B,OF | ARI",199,29,40,25,8,0,7,18,20,64,8,2,.201,.274,.347,87
W ,"Hye Seong Kim 2B,OF | LAD ",161,19,45,35,6,1,3,17,7,52,13,1,.280,.314,.385,86
W ,"Gabriel Arias 2B,SS | CLE",300,32,65,40,16,1,8,32,20,109,5,3,.217,.271,.357,79
W ,Luis Urias 2B | ATH ,175,19,37,25,7,0,5,20,20,40,1,0,.211,.315,.337,78
W ,Kristian Campbell 2B | BOS ,229,24,51,35,10,0,6,21,29,72,2,1,.223,.319,.345,76
W ,"Christian Koss 2B,SS | SF ",174,25,46,34,9,0,3,23,9,45,4,1,.264,.308,.368,76
W ,Cavan Biggio 2B | HOU ,159,27,35,24,6,0,5,20,21,53,2,1,.220,.328,.352,75
W ,Tony Kemp 2B | MIN ,123,14,25,18,4,1,2,9,15,14,5,1,.203,.298,.301,73
W ,Luisangel Acuna 2B | CHW,107,18,26,20,4,0,2,7,7,22,8,1,.243,.296,.336,66
W ,"Miles Mastrobuoni 2B,3B,OF | SEA ",128,18,30,25,4,0,1,7,12,26,7,1,.234,.298,.289,64
W ,"Nick Loftin 2B,OF | KC ",126,14,28,19,6,1,2,15,12,21,1,0,.222,.296,.333,63
W ,Christian Moore 2B | LAA ,162,20,32,19,5,1,7,16,19,62,3,0,.198,.284,.370,57
W ,Owen Miller 2B | CHC ,111,10,28,20,6,0,2,10,6,24,5,1,.252,.294,.360,53
W ,"Ryan Ritter 2B,SS | COL ",187,22,45,32,9,3,1,18,10,61,3,1,.241,.296,.337,53
W ,Cody Freeman 2B | TEX ,114,13,26,19,4,0,3,15,5,19,1,1,.228,.258,.342,51
W ,"Curtis Mead 1B,2B,3B | CHW",148,16,35,27,5,1,2,10,9,38,2,0,.236,.296,.324,49
W ,"Tim Anderson 2B,SS | LAA",270,25,63,54,8,1,0,12,12,73,6,2,.233,.270,.270,49
W ,Leonardo Rivas 2B | SEA,82,14,20,17,2,0,1,8,15,24,4,0,.244,.367,.305,47
W ,"Max Muncy 2B,3B | ATH ",206,17,44,28,7,0,9,23,10,68,1,1,.214,.259,.379,45
