All Third Basemen 3 Year Averages MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,Jose Ramirez 3B | CLE ,608,101,171,101,36,3,31,94,64,76,38,7,.281,.349,.503,575
W ,Manny Machado 3B | SD,584,81,157,100,28,0,29,97,50,121,9,2,.269,.326,.466,386
W ,Alex Bregman 3B | CHC,545,82,144,90,29,2,23,78,62,81,2,1,.264,.345,.451,377
W ,"Maikel Garcia 3B,SS | KC ",545,75,143,100,29,5,9,61,47,101,28,6,.262,.318,.384,350
W ,Caleb Durbin 3B | BOS ,445,60,114,78,25,0,11,53,30,50,18,6,.256,.334,.387,323
W ,"Jazz Chisholm 2B,3B | NYY ",459,66,115,72,16,2,25,68,46,139,31,7,.251,.322,.458,321
W ,Alec Bohm 3B | PHI,525,63,147,99,31,2,15,84,37,87,4,1,.280,.330,.432,320
W ,Eugenio Suarez 3B | CIN,586,83,140,77,28,1,34,105,55,195,3,1,.239,.313,.464,317
W ,Isaac Paredes 3B | HOU,471,63,116,71,21,1,23,77,61,95,1,1,.246,.349,.442,309
W ,Nolan Arenado 3B | ARI,513,63,134,93,22,1,18,72,38,81,3,2,.261,.314,.413,299
W ,Matt Chapman 3B | SF ,513,80,123,65,34,2,22,64,66,150,9,3,.240,.333,.443,292
W ,"Jonathan India 2B,3B,OF | KC ",495,75,120,78,27,1,14,55,62,113,9,3,.242,.341,.386,291
W ,Austin Riley 3B | ATL ,492,78,132,80,26,2,24,69,41,139,2,1,.268,.329,.476,272
W ,"Willi Castro 2B,3B,OF | COL",439,69,107,70,22,4,11,42,42,120,19,6,.244,.329,.387,259
W ,Max Muncy 3B | LAD,344,63,78,39,15,1,23,73,65,104,2,1,.227,.354,.477,250
W ,"Carlos Correa 3B,SS | HOU ",457,59,122,80,26,1,15,57,48,102,0,0,.267,.339,.427,244
