All Relief Pitchers 3 Year Averages MLB Standard Categories
Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,HD,K,BB,H,ERA,WHIP,FPTS,
W ,Josh Hader RP | HOU ,60.0,60,0,0,0,5,4,32,3,0,89,24,35,2.55,0.98,338
W ,Emmanuel Clase RP | CLE ,64.2,66,0,0,0,4,5,38,7,0,59,13,51,2.23,0.99,329
W ,Raisel Iglesias RP | ATL ,64.0,65,0,0,0,5,4,32,4,1,70,15,47,2.67,0.97,321
W ,Edwin Diaz RP | LAD ,60.0,58,0,0,0,6,4,24,5,1,91,20,36,2.40,0.93,300
W ,"Ryne Nelson SP,RP | ARI ",149.2,30,25,10,0,8,6,1,0,0,118,40,146,4.27,1.24,293
W ,Carlos Estevez RP | KC,61.0,61,0,0,0,4,5,33,5,1,61,22,49,2.95,1.16,285
W ,"Nick Martinez SP,RP | TB",139.1,48,17,6,0,9,8,0,1,9,113,33,128,3.75,1.16,285
W ,David Bednar RP | NYY ,62.2,64,0,0,0,4,5,30,4,2,75,23,51,3.30,1.18,284
W ,Jhoan Duran RP | PHI ,62.1,63,0,0,0,5,7,27,4,3,77,20,51,2.60,1.14,280
W ,Cade Smith RP | CLE ,74.2,75,0,0,0,7,3,8,4,24,104,18,53,2.41,0.95,267
W ,Tanner Scott RP | LAD,69.0,69,0,0,0,6,5,19,5,14,83,26,51,2.74,1.12,263
W ,Kenley Jansen RP | DET,52.2,56,0,0,0,4,4,28,3,0,57,19,38,3.08,1.08,260
W ,Aroldis Chapman RP | BOS,60.1,65,0,0,0,5,4,17,4,13,95,30,36,2.69,1.09,259
W ,Andres Munoz RP | SEA ,57.0,59,0,0,0,3,6,24,5,7,76,25,36,2.21,1.07,256
W ,Camilo Doval RP | NYY,64.0,67,0,0,0,5,4,26,6,5,79,33,52,3.80,1.33,253
W ,Kyle Finnegan RP | DET,63.1,63,0,0,0,5,6,30,7,4,59,22,57,3.69,1.25,253
W ,Robert Suarez RP | ATL,54.0,54,0,0,0,6,4,25,5,3,53,14,38,3.17,0.96,252
W ,Ryan Helsley RP | BAL ,53.0,52,0,0,0,4,4,28,6,1,65,22,44,3.06,1.25,251
W ,Devin Williams RP | NYM ,47.1,50,0,0,0,4,3,23,3,5,72,21,27,2.85,1.01,251
W ,Jeff Hoffman RP | TOR,62.1,64,0,0,0,6,4,15,4,11,81,21,44,3.03,1.04,239
Swing and a Miss 2020,Mason Miller RP | SD,53.1,42,2,1,0,1,2,17,2,4,82,22,29,2.87,0.96,236
W ,Pete Fairbanks RP | MIA ,50.1,52,0,0,0,3,4,25,4,1,57,18,36,3.04,1.07,234
W ,"Tyler Holton SP,RP | DET",86.0,65,5,0,0,5,3,3,2,15,72,17,59,2.62,0.88,227
W ,Kirby Yates RP | LAA ,54.1,57,0,0,0,6,2,14,2,9,72,27,32,2.98,1.09,225
W ,Mike Vasil RP | CHW ,101.0,47,3,0,0,5,3,4,2,3,82,52,74,2.50,1.25,225
W ,Matt Strahm RP | KC,71.0,63,3,0,0,6,3,4,4,17,86,17,50,2.66,0.94,215
W ,"Brad Lord SP,RP | WAS",130.2,48,19,5,0,5,10,0,0,7,108,43,126,4.34,1.29,212
W ,Bryan Abreu RP | HOU ,73.2,73,0,0,0,3,3,4,5,29,103,31,51,2.44,1.11,209
W ,Ryan Walker RP | SF,67.2,64,5,0,0,7,5,9,4,11,79,20,57,2.93,1.14,208
W ,"Tobias Myers SP,RP | NYM",94.1,24,16,4,0,5,4,0,0,0,82,26,90,3.15,1.23,204
W ,Alexis Diaz RP | TEX ,47.0,50,0,0,0,4,4,22,2,2,53,26,34,4.02,1.28,197
W ,Jason Adam RP | SD ,64.1,65,0,0,0,6,3,5,4,24,73,23,42,2.24,1.01,197
W ,"Jack Dreyer SP,RP | LAD",76.1,67,5,0,0,3,2,4,2,10,74,24,56,2.95,1.05,196
W ,Felix Bautista RP | BAL ,32.0,30,0,0,0,3,1,17,2,0,53,16,15,1.97,0.97,194
W ,Luke Weaver RP | NYM,90.2,52,8,1,0,5,4,4,1,14,95,29,84,4.67,1.25,190
W ,Trevor Megill RP | MIL,42.2,43,1,0,0,3,2,17,3,3,54,14,35,2.95,1.15,189
W ,Emilio Pagan RP | CIN,58.2,58,1,0,0,4,4,11,4,6,63,18,42,3.22,1.02,187
W ,Matt Svanson RP | STL ,60.1,39,0,0,0,4,0,0,0,5,68,20,33,1.94,0.88,186
W ,"Taijuan Walker SP,RP | PHI",126.2,28,22,6,0,8,7,0,1,1,94,50,131,4.90,1.43,184
W ,Will Vest RP | DET ,62.1,60,1,0,0,4,3,9,4,9,65,18,54,2.89,1.16,183
W ,Dane Dunning RP | SEA,96.0,24,14,5,0,6,5,1,0,1,84,34,95,4.50,1.34,176
W ,Jared Koenig RP | MIL,64.0,64,3,0,0,8,2,2,2,18,66,22,56,2.67,1.22,176
W ,Craig Kimbrel RP | NYM ,44.1,47,0,0,0,5,4,15,4,4,61,22,31,4.06,1.20,174
W ,Griffin Jax RP | TB ,67.1,72,1,0,0,4,7,5,5,25,87,18,56,3.34,1.10,172
W ,Reid Detmers RP | LAA ,100.0,35,15,4,0,4,7,1,2,4,119,41,99,5.04,1.40,171
W ,Jake Junis RP | TEX,73.1,40,3,0,0,4,1,1,0,3,67,16,68,3.19,1.15,169
W ,Evan Phillips RP | LAD ,40.2,43,0,0,0,2,2,14,2,6,45,11,30,2.66,1.01,169
W ,"Mitch Spence SP,RP | KC",118.0,34,16,2,0,6,8,0,0,2,96,35,130,4.73,1.40,168
W ,Jon Gray RP | TEX ,91.1,19,16,6,0,5,5,0,1,0,80,29,90,4.43,1.30,167
W ,Alex Vesia RP | LAD,58.2,64,0,0,0,4,4,4,3,16,77,24,41,2.92,1.11,166
W ,Paul Sewald RP | ARI,40.0,43,0,0,0,2,2,17,4,2,48,13,33,3.83,1.15,164
W ,Shawn Armstrong RP | CLE,64.1,56,5,0,0,3,2,3,2,8,65,19,51,2.94,1.09,160
W ,Braydon Fisher RP | TOR,50.0,52,1,0,0,7,0,0,1,5,62,19,32,2.70,1.02,160
W ,"Ryan Yarbrough SP,RP | NYY ",84.0,29,6,2,0,5,3,1,1,1,62,22,75,3.96,1.15,160
W ,Phil Maton RP | CHC,63.2,67,0,0,0,4,4,3,2,17,72,24,46,3.11,1.10,158
