All Shortstops 3 Year Averages MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,Bobby Witt SS | KC,633,107,191,114,40,9,28,98,49,117,39,12,.302,.354,.526,558
W ,Francisco Lindor SS | NYM ,621,111,165,96,36,1,32,92,62,132,30,5,.266,.342,.481,506
W ,Mookie Betts SS | LAD ,541,99,154,96,29,3,26,88,73,77,13,2,.285,.370,.493,475
W ,Gunnar Henderson SS | BAL,589,101,159,94,31,7,27,81,65,152,20,4,.270,.346,.484,410
W ,Trea Turner SS | PHI ,578,95,166,111,30,4,21,69,38,118,28,4,.287,.337,.462,405
Austin Bats,C.J. Abrams SS | WAS,561,85,140,84,31,6,19,63,36,124,36,6,.250,.309,.428,376
W ,Elly De La Cruz SS | CIN,545,91,139,84,27,8,20,69,57,181,46,11,.255,.328,.444,362
W ,"Maikel Garcia 3B,SS | KC ",545,75,143,100,29,5,9,61,47,101,28,6,.262,.318,.384,350
MeShe,Geraldo Perdomo SS | ARI ,447,77,122,83,25,4,10,61,65,76,17,4,.273,.368,.414,347
W ,Corey Seager SS | TEX,444,72,130,75,27,0,28,73,53,90,2,1,.293,.371,.543,346
W ,Willy Adames SS | SF ,585,87,135,77,28,1,29,93,75,172,13,4,.231,.319,.431,340
W ,Jeremy Pena SS | HOU ,557,76,154,108,30,2,14,61,34,111,18,6,.277,.330,.413,322
W ,Dansby Swanson SS | CHC,563,82,137,88,25,3,21,74,56,155,16,2,.243,.314,.410,319
W ,Xander Bogaerts SS | SD,505,65,137,97,25,1,14,52,44,94,17,2,.271,.330,.408,310
W ,"Andres Gimenez 2B,SS | TOR",490,60,119,87,20,2,10,53,28,92,24,4,.243,.302,.353,293
W ,Bo Bichette SS | NYM,488,59,142,96,30,2,14,66,29,90,5,2,.291,.333,.447,280
W ,"Otto Lopez 2B,SS | MIA ",474,58,122,90,22,0,10,58,34,78,18,5,.257,.309,.367,277
W ,J.P. Crawford SS | SEA ,499,73,124,85,25,1,13,53,73,116,5,0,.248,.349,.381,273
W ,Anthony Volpe SS | NYY ,572,72,127,78,27,5,17,64,46,158,23,7,.222,.283,.376,271
W ,Zachary Neto SS | LAA ,444,63,110,63,27,1,19,58,31,122,20,7,.248,.317,.441,270
W ,Ha-seong Kim SS | ATL ,371,54,91,65,14,1,11,41,50,80,22,5,.245,.336,.377,256
W ,"Carlos Correa 3B,SS | HOU ",457,59,122,80,26,1,15,57,48,102,0,0,.267,.339,.427,244
W ,Ezequiel Tovar SS | COL ,532,69,138,84,33,4,17,61,23,155,7,4,.259,.292,.432,232
W ,"Jose Caballero 2B,3B,SS,OF | NYY",329,47,75,51,17,1,6,35,34,99,40,10,.228,.317,.340,229
W ,"Mauricio Dubon 2B,3B,SS,OF | ATL",413,55,109,77,24,1,7,42,20,56,4,1,.264,.299,.378,216
W ,"Chase Meidroth 2B,SS | CHW ",450,54,114,94,15,0,5,23,45,72,14,4,.253,.329,.320,214
W ,"Zach McKinstry 3B,SS,OF | DET",404,53,96,62,19,7,8,36,38,98,17,4,.238,.309,.379,214
