Austin Bats
Pos,Player,Salary,Elig,
SP,Trevor Bauer SP | LAD,62,SP
SP,Blake Snell SP | LAD ,36,SP
3B,Manny Machado 3B | SD,39,"3B,DH"
RP,Michael Lorenzen SP | COL,4,RP
1B,Josh Bell 1B | MIN,17,"1B,DH"
SP,Marcus Stroman SP | NYY,16,SP
RES,Jameson Taillon SP | CHC,8,SP
SS,Dansby Swanson SS | CHC,16,"DH,SS"
OF,Ramon Laureano OF | SD ,9,"DH,OF"
DH,"Shohei Ohtani DH,SP | LAD ",10,"DH,SP"
OF,Joey Gallo 1B | CHW,2,"DH,OF"
RES,Yusei Kikuchi SP | LAA,2,SP
RES,Brian Anderson OF | ATL,2,"3B,DH"
RES,Dylan Bundy SP | NYM,5,SP
RES,Sandy Alcantara SP | MIA ,10,SP
RES,Kyle Lewis DH | ARI,10,"DH,OF"
RES,Cristian Javier SP | HOU ,5,SP
C,James McCann C | ARI ,7,"C,DH"
RES,Triston McKenzie RP | SD ,5,SP
RP,"Jordan Hicks SP,RP | CHW",5,RP
RES,Jordan Romano RP | LAA ,4,RP
RES,"Andres Gimenez 2B,SS | TOR",3,"2B,DH,SS"
RES,Amir Garrett RP | TOR,3,RP
RES,Miguel Sano 3B | LAA,1,"1B,DH"
Redskins
Pos,Player,Salary,Elig,
SP,Clayton Kershaw SP | LAD,48,SP
SP,Jose Urquidy RP | PIT ,16,SP
SP,Hyun-Jin Ryu SP | TOR,27,SP
SP,Dallas Keuchel SP | MIL,18,SP
SP,Kyle Hendricks SP | LAA,25,SP
C,Willson Contreras 1B | BOS,15,"C,DH"
RP,Freddy Peralta SP | NYM ,4,RP
DH,Josh Donaldson 3B | ,6,"3B,DH"
OF,Byron Buxton OF | MIN ,11,"DH,OF"
RES,Zac Gallen SP | ARI ,7,SP
RES,Noah Syndergaard SP | CLE,7,SP
RES,Merrill Kelly SP | ARI ,7,SP
RP,Trevor Rosenthal RP | DET,8,RP
OF,Anthony Santander OF | TOR ,6,"DH,OF"
RES,"Willi Castro 2B,3B,OF | COL",1,"DH,SS"
RES,Elvis Andrus 2B | ,6,"DH,SS"
RES,Luke Voit 1B | NYM,8,"1B,DH"
RES,Alex Dickerson DH | ,2,"DH,OF"
RES,Zach Eflin SP | BAL ,3,SP
RES,"Ryan Yarbrough SP,RP | NYY ",6,SP
RES,Jean Segura 3B | ,4,"2B,3B,DH"
RES,"Miguel Rojas 2B,3B,SS | LAD",2,"DH,SS"
RES,Willians Astudillo 3B | ,1,"C,DH"
Bushwood CC
Pos,Player,Salary,Elig,
OF,Mike Trout OF | LAA,75,"DH,OF"
SP,Stephen Strasburg SP | ,39,SP
3B,Anthony Rendon 3B | LAA ,44,"3B,DH"
OF,Charlie Blackmon RF | ,23,"DH,OF"
SP,Ian Anderson RP | ATL ,15,SP
SP,Chris Archer SP | ,8,SP
C,Gary Sanchez C | MIL,7,"C,DH"
DH,Matt Chapman 3B | SF ,10,"3B,DH"
RP,Joe Ross RP | ARI,3,RP
RES,Chris Bassitt SP | BAL,13,SP
1B,Joey Votto 1B | TOR,3,"1B,DH"
RP,Jose Quintana SP | COL,7,RP
RES,Madison Bumgarner SP | ,6,SP
RES,Raisel Iglesias RP | ATL ,6,RP
RES,Trey Mancini 1B | LAA ,7,"DH,OF"
RES,Carson Kelly C | CHC,2,"C,DH"
RES,Michael Pineda SP | ,3,SP
RES,Tony Gonsolin SP | LAD ,4,SP
RES,Ian Happ OF | CHC,7,"DH,OF"
RES,Craig Kimbrel RP | NYM ,4,RP
RES,Yadier Molina C | ,2,"C,DH"
RES,Corey Dickerson LF | ,1,"DH,OF"
RES,"Jose Iglesias 2B,3B,SS | SD ",1,"DH,SS"
Sofa Kings
Pos,Player,Salary,Elig,
OF,Bryce Harper 1B | PHI,40,"DH,OF"
SS,Francisco Lindor SS | NYM ,43,"DH,SS"
3B,Jose Ramirez 3B | CLE ,61,"3B,DH"
DH,Adalberto Mondesi SS | BOS,25,"DH,SS"
SP,Corbin Burnes SP | ARI ,27,SP
OF,Tommy Pham OF | PIT,11,"DH,OF"
RES,Ke'Bryan Hayes 3B | CIN,9,"3B,DH"
RES,Jake Cronenworth 2B | SD,6,"2B,DH"
1B,Carlos Santana 1B | ARI,8,"1B,DH"
OF,Jesse Winker DH | NYM,5,"DH,OF"
SP,Matthew Boyd SP | CHC ,5,SP
SP,Robbie Ray SP | SF ,3,SP
C,Sean Murphy C | ATL ,5,"C,DH"
RES,"Taijuan Walker SP,RP | PHI",2,SP
RP,Rafael Montero RP | NYY ,3,RP
RES,Wil Myers RF | ,2,"DH,OF"
RES,Joc Pederson DH | TEX ,1,"DH,OF"
RP,Greg Holland RP | ,1,RP
RES,Griffin Canning SP | SD ,1,SP
RES,Ross Stripling SP | KC,1,SP
RES,Victor Robles OF | SEA ,1,"DH,OF"
RES,"Jonathan India 2B,3B,OF | KC ",1,"3B,DH"
RES,A.J. Pollock LF | ,1,"DH,OF"
RES,Daniel Bard RP | COL,1,RP
RES,David Price RP | ,1,SP
Moneyball Dos
Pos,Player,Salary,Elig,
OF,Mookie Betts SS | LAD ,71,"DH,OF"
OF,Juan Soto OF | NYM,67,"DH,OF"
C,"Salvador Perez C,1B | KC",5,"C,DH"
1B,Anthony Rizzo 1B | NYY,27,"1B,DH"
DH,Starling Marte DH | KC,26,"DH,OF"
SP,Kevin Gausman SP | TOR ,7,SP
SP,James Paxton SP | BOS,13,SP
3B,Alec Bohm 3B | PHI,5,"3B,DH"
SP,Eduardo Rodriguez SP | ARI,10,SP
SP,Julio Urias SP | LAD,13,SP
RES,Sean Manaea SP | NYM ,5,SP
2B,Cesar Hernandez 2B | ,1,"2B,DH"
RES,Nathan Eovaldi SP | TEX ,3,SP
RES,Matt Shoemaker SP | ,1,SP
RP,Nick Neidert SP | CHC,1,RP
RES,Mark Canha OF | TEX ,4,"DH,OF"
RES,Ian Kennedy RP | TEX,1,RP
RES,Andrew McCutchen DH | TEX ,3,"DH,OF"
RES,Didi Gregorius SS | ,5,"DH,SS"
RES,Jake Odorizzi SP | TB,1,SP
RES,Kevin Pillar OF | TEX,1,"DH,OF"
RES,Mark Melancon RP | ARI,2,RP
RES,John Means SP | KC ,2,SP
RES,Eduardo Escobar 3B | TOR,2,"3B,DH"
Cardinal and Gold
Pos,Player,Salary,Elig,
SP,Zack Greinke SP | KC,36,SP
SP,Patrick Corbin SP | TEX,26,SP
SP,Zack Wheeler SP | PHI ,29,SP
SP,Lance Lynn SP | ,24,SP
1B,Freddie Freeman 1B | LAD,65,"1B,DH"
2B,"Jose Altuve 2B,OF | HOU",29,"2B,DH"
SS,"Carlos Correa 3B,SS | HOU ",17,"DH,SS"
3B,Kyle Seager 3B | ,8,"3B,DH"
OF,Michael Brantley LF | ,8,"DH,OF"
RES,Kolten Wong 2B | BAL,1,"2B,DH"
RP,Nick Pivetta SP | SD,4,RP
RP,Diego Castillo RP | COL,1,RP
OF,Jarred Kelenic OF | CHW,2,"DH,OF"
C,Buster Posey C | ,3,"C,DH"
OF,Brandon Nimmo OF | TEX,2,"DH,OF"
RES,Myles Straw OF | TOR,2,"DH,OF"
RES,Manuel Margot OF | DET,1,"DH,OF"
RES,Kevin Kiermaier OF | LAD,2,"DH,OF"
RES,Trevor Rogers SP | BAL ,1,SP
RES,David Fletcher 2B | ATL,2,"2B,DH,SS"
RES,Marco Gonzales SP | SD,2,SP
RES,Carlos Martinez SP | ,3,SP
RES,Jesus Aguilar 1B | ,2,"1B,DH"
RES,Elieser Hernandez RP | ATL,1,SP
Lou Brown's Kids
Pos,Player,Salary,Elig,
