Austin Bats
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
OF,Kyle Tucker OF | LAD ,46,"DH,OF",468.0,446.0
1B,Matt Olson 1B | ATL ,42,"1B,DH",376.0,342.0
SP,Jose Berrios SP | TOR ,30,SP,300.0,33.0
SS,"Tim Anderson 2B,SS | LAA",2,"DH,SS",185.0,156.0
RP,Liam Hendriks RP | MIN ,11,RP,341.0,194.0
C,Yasmani Grandal C | PIT,10,"C,DH",91.0,31.0
3B,Ke'Bryan Hayes 3B | CIN,10,"3B,DH",232.0,87.0
SP,Shane Bieber SP | TOR ,39,SP,570.0,546.0
OF,Akil Baddoo OF | MIL ,1,"DH,OF",70.0,0.0
RP,Raisel Iglesias RP | ATL ,10,RP,232.0,106.0
2B,Ty France 1B | SD ,5,"1B,2B,DH",346.0,243.0
OF,Eloy Jimenez DH | TOR,13,"DH,OF",199.0,78.0
RES,DJ LeMahieu 2B | NYY,6,"1B,2B,3B,DH",297.0,206.0
SP,Marco Gonzales SP | SD,7,SP,292.0,24.0
RES,Jean Segura 3B | ,3,"2B,DH",214.0,0.0
SP,John Means SP | KC ,8,SP,15.0,15.0
RES,Julio Rodriguez OF | SEA,12,"DH,OF",378.0,360.0
RES,Ryan McMahon 3B | NYY ,3,"2B,3B,DH",244.0,1.0
RES,Yusei Kikuchi SP | LAA,1,SP,170.0,13.0
RES,Sonny Gray SP | BOS,5,SP,305.0,136.0
RES,Michael Kopech RP | LAD ,1,RP,246.0,84.0
RES,Zach Eflin SP | BAL ,2,SP,151.0,0.0
RES,Steven Matz RP | TB ,2,SP,102.0,22.0
RES,Drew Rasmussen SP | TB,2,"RP,SP",377.0,60.0
RES,Corey Kluber SP | ,1,SP,329.0,51.0
Redskins
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
2B,Trea Turner SS | PHI ,65,"2B,DH,SS",468.0,461.0
OF,Aaron Judge OF | NYY,34,"DH,OF",642.0,635.0
OF,Eddie Rosario DH | MIL,23,"DH,OF",81.0,-4.0
SP,Clayton Kershaw SP | LAD,25,SP,418.0,354.0
1B,Pete Alonso 1B | BAL,29,"1B,DH",484.0,478.0
SP,Lucas Giolito SP | BOS,43,SP,311.0,152.0
