Austin Bats
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
2B,Gleyber Torres 2B | DET,18,"2B,DH",403.0,401.0
3B,Rafael Devers 1B | SF ,38,"3B,DH",403.0,401.0
SS,Xander Bogaerts SS | SD,17,"DH,SS",395.0,395.0
SP,Brandon Woodruff SP | MIL ,36,SP,226.0,142.0
SP,Robbie Ray SP | SF ,24,SP,-5.0,-5.0
C,William Contreras C | MIL ,4,"C,DH",349.0,181.0
SP,Dylan Cease SP | TOR,20,SP,349.0,172.0
SP,Jesus Luzardo SP | PHI ,10,SP,475.0,311.0
1B,Josh Naylor 1B | SEA ,4,"1B,DH",357.0,250.0
DH,Sean Murphy C | ATL ,2,"C,DH",259.0,240.0
RES,Yandy Diaz 1B | TB ,4,"1B,3B,DH",417.0,308.0
RP,Jordan Romano RP | LAA ,2,RP,309.0,76.0
RES,Pete Fairbanks RP | MIA ,2,RP,239.0,20.0
RES,Kodai Senga SP | NYM ,5,SP,470.0,58.0
OF,Andrew Vaughn 1B | MIL,1,"1B,DH,OF",298.0,232.0
RES,Charlie Morton SP | ATL,5,SP,366.0,294.0
OF,Anthony Santander OF | TOR ,3,"DH,OF",376.0,218.0
RES,"Brendan Donovan 2B,OF | SEA ",1,"1B,2B,3B,DH,OF",217.0,78.0
RES,Noah Syndergaard SP | CLE,3,SP,65.0,22.0
MeShe
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
OF,Juan Soto OF | NYM,51,"DH,OF",531.0,175.0
3B,Manny Machado 3B | SD,39,"3B,DH",353.0,309.0
SP,Max Fried SP | NYY ,28,SP,237.0,206.0
SP,Framber Valdez SP | DET ,34,SP,496.0,80.0
2B,"Tommy Edman 2B,OF | LAD ",14,"2B,DH,SS",326.0,187.0
SP,Kevin Gausman SP | TOR ,21,SP,534.0,407.0
SS,"Tim Anderson 2B,SS | LAA",3,"DH,SS",137.0,57.0
SP,Joe Musgrove SP | SD ,14,SP,277.0,211.0
SP,Chris Bassitt SP | BAL,9,SP,498.0,461.0
RP,Jhoan Duran RP | PHI ,2,RP,279.0,40.0
RES,Tyler Anderson SP | LAA,1,SP,188.0,12.0
OF,Tyler O'Neill OF | BAL,2,"DH,OF",116.0,19.0
RES,"Eric Lauer SP,RP | TOR ",1,SP,45.0,0.0
OF,Teoscar Hernandez OF | LAD,4,"DH,OF",283.0,25.0
C,Danny Jansen C | TEX,1,"C,DH",177.0,-5.0
RES,Sean Manaea SP | NYM ,1,SP,239.0,0.0
RES,Cal Quantrill SP | TEX,1,SP,111.0,58.0
RES,Merrill Kelly SP | ARI ,2,SP,464.0,346.0
RES,Bailey Falter SP | KC,1,SP,84.0,0.0
DH,C.J. Cron 1B | BOS,1,"1B,DH",130.0,27.0
Bushwood CC
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
OF,Mike Trout OF | LAA,50,"DH,OF",203.0,203.0
SS,"Carlos Correa 3B,SS | HOU ",20,"DH,SS",250.0,198.0
1B,Anthony Rizzo 1B | NYY,13,"1B,DH",166.0,166.0
SP,Shane Bieber SP | TOR ,36,SP,270.0,239.0
OF,Ronald Acuna Jr. OF | ATL ,38,"DH,OF",838.0,838.0
OF,Byron Buxton OF | MIN ,17,"DH,OF",181.0,159.0
DH,Taylor Ward OF | BAL ,3,"DH,OF",234.0,74.0
SP,Logan Webb SP | SF,19,SP,537.0,479.0
SP,Miles Mikolas SP | WAS ,6,SP,302.0,3.0
SP,Joe Ryan SP | MIN ,7,SP,392.0,315.0
2B,Jake Cronenworth 2B | SD,8,"1B,2B,DH",246.0,193.0
RES,Zach Eflin SP | BAL ,1,SP,503.0,386.0
C,Travis d'Arnaud C | LAA,1,"C,DH",123.0,61.0
RES,Jose Berrios SP | TOR ,4,SP,429.0,161.0
RP,Camilo Doval RP | NYY,3,RP,344.0,344.0
RES,Chris Sale SP | ATL ,2,SP,244.0,34.0
RES,Alex Verdugo OF | SD,1,"DH,OF",329.0,167.0
RES,Matt Chapman 3B | SF ,1,"3B,DH",227.0,25.0
RES,J.D. Martinez DH | NYM,1,DH,301.0,92.0
RES,Sonny Gray SP | BOS,1,SP,471.0,468.0
Sofa Kings
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
3B,Alex Bregman 3B | CHC,35,"3B,DH",466.0,464.0
OF,Cedric Mullins OF | TB ,22,"DH,OF",284.0,250.0
OF,Mookie Betts SS | LAD ,43,"DH,OF",597.0,597.0
SP,Aaron Nola SP | PHI,34,SP,445.0,344.0
OF,Austin Meadows OF | DET,11,"DH,OF",5.0,0.0
DH,Yordan Alvarez OF | HOU,32,"DH,OF",403.0,382.0
1B,Vinnie Pasquantino 1B | KC ,12,"1B,DH",145.0,145.0
RES,Jurickson Profar OF | ATL ,1,"DH,OF",231.0,0.0
SP,Dustin May SP | STL,13,SP,132.0,132.0
SS,Willy Adames SS | SF ,2,"DH,SS",274.0,58.0
RES,Steven Kwan OF | CLE ,1,"DH,OF",433.0,384.0
C,Willson Contreras 1B | BOS,2,"C,DH",274.0,197.0
RES,Alejandro Kirk C | TOR,2,"C,DH",201.0,0.0
SP,Pablo Lopez SP | MIN ,8,SP,516.0,448.0
RP,Felix Bautista RP | BAL ,2,RP,396.0,335.0
RES,Josh Bell 1B | MIN,3,"1B,DH",278.0,6.0
RES,Lance Lynn SP | ,2,SP,314.0,40.0
RES,Bryan De La Cruz OF | PHI,1,"DH,OF",281.0,75.0
RES,Jeffrey Springs SP | ATH ,1,SP,78.0,0.0
Moneyball Dos
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
OF,Aaron Judge OF | NYY,52,"DH,OF",343.0,343.0
SP,Nestor Cortes SP | SD ,22,SP,133.0,97.0
OF,Starling Marte DH | KC,15,"DH,OF",189.0,192.0
SP,Zack Wheeler SP | PHI ,33,SP,528.0,531.0
SP,Clayton Kershaw SP | LAD,23,SP,400.0,400.0
1B,Jose Abreu 1B | HOU,11,"1B,DH",266.0,29.0
DH,Matt Olson 1B | ATL ,18,"1B,DH",561.0,554.0
SS,Wander Franco SS | TB ,15,"DH,SS",371.0,371.0
C,Will Smith C | LAD,16,"C,DH",349.0,313.0
2B,Ozzie Albies 2B | ATL ,14,"2B,DH",480.0,484.0
OF,Joc Pederson DH | TEX ,1,"DH,OF",228.0,209.0
RP,Ryan Pressly RP | CHC,7,RP,289.0,289.0
RP,Ryan Helsley RP | BAL ,5,RP,160.0,8.0
3B,Max Muncy 3B | LAD,7,"2B,3B,DH",336.0,336.0
RES,Kolten Wong 2B | BAL,1,"2B,DH",80.0,0.0
RES,Andrew Benintendi OF | CHW ,1,"DH,OF",312.0,119.0
RES,"Javier Baez 3B,SS,OF | DET ",1,"DH,SS",189.0,64.0
RES,Mark Canha OF | TEX ,1,"DH,OF",302.0,195.0
RES,Mike Yastrzemski OF | ATL,1,"DH,OF",195.0,48.0
RES,Jose Trevino C | CIN,1,"C,DH",61.0,0.0
Cardinal and Gold
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
SP,Justin Verlander SP | DET ,48,SP,409.0,409.0
3B,Jose Ramirez 3B | CLE ,59,"3B,DH",508.0,510.0
OF,Kris Bryant DH | COL ,14,"DH,OF",138.0,83.0
SS,Francisco Lindor SS | NYM ,32,"DH,SS",501.0,497.0
1B,Freddie Freeman 1B | LAD,40,"1B,DH",627.0,627.0
2B,Whit Merrifield 2B | ATL,14,"2B,DH,OF",338.0,338.0
SP,Nathan Eovaldi SP | TEX ,6,SP,356.0,337.0
OF,Christian Yelich OF | MIL,6,"DH,OF",446.0,450.0
RP,Matthew Boyd SP | CHC ,4,RP,120.0,0.0
SP,Spencer Turnbull RP | TOR,4,SP,5.0,-22.0
RES,Kenley Jansen RP | DET,1,RP,221.0,150.0
RES,David Robertson RP | PHI,1,RP,233.0,71.0
C,Tyler Stephenson C | CIN,1,"C,DH",198.0,28.0
RES,Brady Singer SP | CIN ,1,SP,211.0,17.0
RES,Andrew Heaney SP | LAD,1,SP,294.0,8.0
RES,Jordan Montgomery SP | TEX ,1,SP,446.0,284.0
DH,Cody Bellinger OF | NYY,1,"DH,OF",456.0,384.0
RES,Alec Bohm 3B | PHI,1,"3B,DH",361.0,105.0
