Austin Bats
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
RF,Mookie Betts SS | LAD ,63,"2B,DH,OF,SS",398,111
3B,Nolan Arenado 3B | ARI,11,"3B,DH",312,303
SP,Yoshinobu Yamamoto SP | LAD ,41,SP,264,41
SS,Elly De La Cruz SS | CIN,33,"3B,DH,SS",456,262
RP,Sean Manaea SP | NYM ,5,"RP,SP",470,39
3B,Jeimer Candelario 3B | LAA ,2,"1B,3B,DH",192,144
SP,James Paxton SP | BOS,7,SP,187,111
SP,Cristian Javier SP | HOU ,8,SP,73,64
SP,Brandon Pfaadt SP | ARI,5,SP,375,9
LF,Evan Carter OF | TEX ,13,"DH,OF",68,73
SP,Bryce Miller SP | SEA ,4,SP,505,470
RP,Jose Alvarado RP | PHI,4,RP,165,95
LF,Daulton Varsho OF | TOR ,1,"DH,OF",257,
SP,Bailey Ober SP | MIN ,2,SP,471,375
RP,DL Hall RP | MIL,4,"RP,SP",54,
SP,Max Scherzer SP | TOR ,2,SP,88,62
SP,JP Sears SP | SD,1,SP,323,
RP,Frankie Montas SP | NYM ,4,"RP,SP",255,3
SP,Reid Detmers RP | LAA ,5,SP,108,10
SP,Cristopher Sanchez SP | PHI,3,SP,417,172
CF,Riley Greene OF | DET ,3,"DH,OF",318,278
SP,Brayan Bello SP | BOS,1,SP,322,85
RP,Chris Paddack SP | MIA ,1,"RP,SP",150,
CF,TJ Friedl OF | CIN,2,"DH,OF",209,165
MeShe
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
RF,Ronald Acuna Jr. OF | ATL ,70,"DH,OF",141,141
SP,Zack Wheeler SP | PHI ,40,SP,648,335
SS,Corey Seager SS | TEX,31,"DH,SS",333,310
3B,Alex Bregman 3B | CHC,27,"3B,DH",368,368
SP,Framber Valdez SP | DET ,30,SP,488,471
1B,Paul Goldschmidt 1B | NYY,15,"1B,DH",282,102
SP,Joe Musgrove SP | SD ,12,SP,232,64
SP,Eduardo Rodriguez SP | ARI,6,SP,71,
CF,Brandon Nimmo OF | TEX,5,"DH,OF",378,320
RP,Pete Fairbanks RP | MIA ,5,RP,200,-8
RF,Joshua Lowe OF | LAA ,6,"DH,OF",184,17
DH,Justin Turner 1B | CHC,3,"1B,3B,DH",257,70
LF,Lourdes Gurriel OF | ARI ,2,"DH,OF",314,125
RP,Alexis Diaz RP | TEX ,2,RP,218,113
2B,Bryson Stott 2B | PHI,3,"2B,DH,SS",346,267
SP,Michael Wacha SP | KC,3,SP,400,213
C,Keibert Ruiz C | WAS,1,"C,DH",239,12
CF,James Outman OF | MIN ,3,"DH,OF",27,
LF,Whit Merrifield 2B | ATL,3,"2B,3B,DH,OF",175,
2B,Jorge Polanco 2B | NYM ,1,"2B,3B,DH",145,
SP,Andrew Abbott SP | CIN ,1,SP,280,
SP,Lance Lynn SP | ,2,SP,244,
SP,"Taijuan Walker SP,RP | PHI",2,"RP,SP",30,
SP,Braxton Garrett SP | MIA ,3,SP,62,
Bushwood CC
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
1B,Vladimir Guerrero Jr. 1B | TOR,30,"1B,3B,DH",497,492
3B,Jose Ramirez 3B | CLE ,46,"3B,DH",636,636
2B,Ozzie Albies 2B | ATL ,24,"2B,DH",250,217
SP,Logan Webb SP | SF,36,SP,469,445
RF,George Springer OF | TOR ,17,"DH,OF",326,321
SP,Shane Bieber SP | TOR ,16,SP,61,61
SS,Bo Bichette SS | NYM,15,"DH,SS",119,117
SP,Zach Eflin SP | BAL ,21,SP,367,189
CF,Luis Robert OF | NYM ,23,"DH,OF",179,158
SP,Joe Ryan SP | MIN ,15,SP,359,303
DH,Byron Buxton OF | MIN ,6,"DH,OF",255,185
1B,Spencer Steer 1B | CIN ,13,"1B,2B,3B,DH,OF",400,400
RP,Raisel Iglesias RP | ATL ,10,RP,374,327
RP,Jordan Romano RP | LAA ,2,RP,49,
RP,Nick Pivetta SP | SD,2,"RP,SP",337,108
C,Bo Naylor C | CLE,2,"C,DH",114,
C,Travis d'Arnaud C | LAA,1,"C,DH",160,18
SP,Reese Olson SP | DET ,1,SP,236,13
SP,Yusei Kikuchi SP | LAA,1,SP,413,151
SP,Kutter Crawford SP | BOS ,1,SP,375,179
SP,Miles Mikolas SP | WAS ,1,SP,271,
RP,Kenley Jansen RP | DET,2,RP,264,
C,Gabriel Moreno C | ARI ,1,"C,DH",195,28
RF,Will Benson OF | CIN ,1,"DH,OF",138,9
Sofa Kings
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
DH,"Shohei Ohtani DH,SP | LAD ",55,"DH,SP",773,764
RF,Kyle Tucker OF | LAD ,44,"DH,OF",303,298
3B,Manny Machado 3B | SD,21,"3B,DH",401,356
RP,Cole Ragans SP | KC ,19,"RP,SP",524,315
SP,Aaron Nola SP | PHI,28,SP,501,436
SS,C.J. Abrams SS | WAS,12,"DH,SS",353,309
SP,Max Fried SP | NYY ,21,SP,426,238
1B,Vinnie Pasquantino 1B | KC ,12,"1B,DH",354,322
C,Adley Rutschman C | BAL,21,"C,DH",322,322
CF,Esteury Ruiz OF | MIA,13,"DH,OF",34,
2B,"Tommy Edman 2B,OF | LAD ",5,"2B,DH,OF,SS",90,54
SP,Jose Berrios SP | TOR ,3,SP,451,253
SP,Kodai Senga SP | NYM ,5,SP,22,
RP,Tanner Scott RP | LAD,1,RP,321,2
CF,Jarren Duran OF | BOS,2,"DH,OF",499,468
SP,Nick Lodolo SP | CIN ,1,SP,241,111
SP,MacKenzie Gore SP | TEX ,1,SP,336,31
1B,Ty France 1B | SD ,1,"1B,DH",201,13
DH,Mitch Garver C | SEA,1,"C,DH",140,
SP,Mason Miller RP | SD,1,"RP,SP",340,179
2B,Brice Turang 2B | MIL,1,"2B,DH,SS",401,385
SP,Shane Baz SP | BAL,1,SP,200,76
SP,Luis Severino SP | ATH,1,SP,388,4
Moneyball Dos
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
2B,Marcus Semien 2B | NYM ,33,"2B,DH",398,398
SS,Trea Turner SS | PHI ,33,"DH,SS",341,341
SP,Corbin Burnes SP | ARI ,37,SP,537,537
LF,Christian Yelich OF | MIL,21,"DH,OF",266,266
2B,Nico Hoerner 2B | CHC,28,"2B,DH,SS",410,101
SP,Nestor Cortes SP | SD ,7,SP,388,313
2B,Luis Arraez 1B | SF,16,"1B,2B,DH",388,354
RP,Ryan Pepiot SP | TB,4,"RP,SP",314,232
CF,Cedric Mullins OF | TB ,14,"DH,OF",339,339
C,"Salvador Perez C,1B | KC",12,"1B,C,DH",347,347
RF,Kerry Carpenter OF | DET,4,"DH,OF",196,106
RP,Evan Phillips RP | LAD ,14,RP,217,126
SP,Marcus Stroman SP | NYY,8,SP,249,210
LF,Masataka Yoshida DH | BOS,3,"DH,OF",253,135
SP,Aaron Civale SP | ATH,8,SP,297,44
SP,Clayton Kershaw SP | LAD,3,SP,44,30
3B,Josh Jung 3B | TEX ,7,"3B,DH",77,
RP,Jhoan Duran RP | PHI ,5,RP,228,113
RP,Ryan Helsley RP | BAL ,7,RP,431,300
1B,Jose Abreu 1B | HOU,1,"1B,DH",11,5
C,Alejandro Kirk C | TOR,1,"C,DH",171,
RF,Jake Fraley OF | TB ,1,"DH,OF",215,
RF,Max Kepler OF | PHI ,1,"DH,OF",175,17
LF,Wyatt Langford OF | TEX ,1,"DH,OF",345,270
RF,Alex Verdugo OF | SD,1,"DH,OF",294,66
Cardinal and Gold
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
CF,Mike Trout OF | LAA,30,"DH,OF",97,97
SP,Yu Darvish SP | SD ,16,SP,214,112
1B,Freddie Freeman 1B | LAD,60,"1B,DH",433,430
3B,Royce Lewis 3B | MIN,18,"3B,DH",159,138
SP,Luis Castillo SP | SEA,33,SP,422,387
SP,Justin Verlander SP | DET ,17,SP,129,98
SS,Francisco Lindor SS | NYM ,27,"DH,SS",507,507
RF,Starling Marte DH | KC,4,"DH,OF",208,105
SP,Chris Bassitt SP | BAL,10,SP,301,204
2B,"Jeff McNeil 2B,OF | ATH",7,"2B,DH,OF",236,10
C,Willson Contreras 1B | BOS,9,"C,DH",191,185
RF,Anthony Santander OF | TOR ,3,"DH,OF",432,389
RP,Jose Leclerc RP | ATH ,3,RP,144,
SP,J.P. France RP | HOU,2,SP,3,
CF,Jung Hoo Lee OF | SF ,3,"DH,OF",72,30
RP,Adbert Alzolay RP | NYM ,3,RP,19,21
SP,Griffin Canning SP | SD ,3,SP,213,
3B,Ke'Bryan Hayes 3B | CIN,2,"3B,DH",142,32
SP,Kyle Hendricks SP | LAA,1,"RP,SP",113,
SP,Casey Mize SP | DET ,3,"RP,SP",141,
2B,Brandon Lowe 2B | PIT ,2,"1B,2B,DH",236,48
2B,"Brendan Donovan 2B,OF | SEA ",2,"2B,3B,DH,OF",368,314
LF,Jarred Kelenic OF | CHW,1,"DH,OF",169,
The Mike Uhlenkamp Experience
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
DH,Yordan Alvarez OF | HOU,39,"DH,OF",487,487
SP,Spencer Strider SP | ATL ,61,SP,10,10
CF,Julio Rodriguez OF | SEA,43,"DH,OF",321,300
SP,Logan Gilbert SP | SEA,19,SP,582,582
C,Will Smith C | LAD,15,"C,DH",299,291
RP,David Bednar RP | NYY ,5,RP,157,5
LF,Nolan Jones OF | CLE ,5,"DH,OF",85,16
3B,Junior Caminero 3B | TB ,12,"3B,DH",71,14
2B,Ha-seong Kim SS | ATL ,10,"2B,3B,DH,SS",278,261
SS,Dansby Swanson SS | CHC,5,"DH,SS",312,239
2B,Zack Gelof 2B | ATH ,7,"2B,DH",201,30
SP,Gavin Williams SP | CLE ,3,SP,112,
DH,Marcell Ozuna DH | PIT,1,DH,441,405
3B,Alec Bohm 3B | PHI,4,"1B,3B,DH",350,258
SP,Bryan Woo SP | SEA,2,SP,341,245
SP,Dane Dunning RP | SEA,1,"RP,SP",131,44
SP,John Means SP | KC ,3,SP,63,
2B,"Nolan Gorman 2B,3B | STL ",1,"2B,3B,DH",119,
SP,Kyle Bradish SP | BAL,5,SP,118,31
SP,Mike Clevinger RP | PIT,1,SP,-1,
DH,Jorge Soler OF | LAA,2,"DH,OF",300,
SP,Clarke Schmidt SP | NYY ,1,SP,201,69
SP,Bryce Elder SP | ATL ,1,SP,44,
SP,Shane McClanahan SP | TB ,1,SP,,
Swing and a Miss 2020
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
SS,Bobby Witt SS | KC,49,"DH,SS",618,618
SP,Gerrit Cole SP | NYY ,28,SP,248,193
SP,Blake Snell SP | LAD ,22,SP,321,224
3B,Rafael Devers 1B | SF ,40,"3B,DH",349,331
SP,Zac Gallen SP | ARI ,33,SP,377,148
RF,Fernando Tatis Jr. OF | SD,49,"DH,OF",272,201
RF,Seiya Suzuki OF | CHC ,13,"DH,OF",339,332
SP,Chris Sale SP | ATL ,10,SP,611,611
SP,Mitch Keller SP | PIT,10,SP,349,242
SP,Jordan Montgomery SP | TEX ,6,"RP,SP",119,28
RP,Paul Sewald RP | ARI,2,RP,143,92
DH,Eloy Jimenez DH | TOR,2,DH,120,8
1B,Rhys Hoskins 1B | CLE ,1,"1B,DH",243,13
RP,Craig Kimbrel RP | NYM ,1,RP,209,98
1B,Christian Encarnacion-Strand 1B | CIN ,1,"1B,DH",33,5
SS,Trevor Story SS | BOS ,1,"DH,SS",47,
C,Luis Campusano DH | SD,1,"C,DH",151,102
RP,Yuki Matsui RP | SD ,1,RP,134,9
1B,Jake Cronenworth 2B | SD,1,"1B,2B,DH",335,287
C,Tyler Stephenson C | CIN,1,"C,DH",272,
SP,Seth Lugo SP | KC,1,SP,548,343
SS,Willy Adames SS | SF ,1,"DH,SS",408,356
3B,Matt Chapman 3B | SF ,1,"3B,DH",367,
3B,DJ LeMahieu 2B | NYY,1,"1B,3B,DH",75,
Ireland
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
RF,Aaron Judge OF | NYY,55,"DH,OF",659,659
LF,Juan Soto OF | NYM,62,"DH,OF",592,592
3B,Austin Riley 3B | ATL ,26,"3B,DH",219,171
SP,Tyler Glasnow SP | LAD,22,SP,408,396
DH,Giancarlo Stanton OF | NYY ,1,"DH,OF",216,25
RF,Nick Castellanos OF | SD ,2,"DH,OF",349,184
SP,Bobby Miller SP | LAD ,13,SP,17,23
1B,Anthony Rizzo 1B | NYY,3,"1B,DH",151,
RF,Kris Bryant DH | COL ,2,"1B,DH,OF",35,
SS,"Carlos Correa 3B,SS | HOU ",5,"DH,SS",246,54
C,Austin Wells C | NYY ,1,"C,DH",181,
SS,J.P. Crawford SS | SEA ,3,"DH,SS",183,57
RP,Emmanuel Clase RP | CLE ,6,RP,468,337
RF,Teoscar Hernandez OF | LAD,13,"DH,OF",378,235
SP,Hunter Greene SP | CIN ,19,SP,425,330
SP,Walker Buehler SP | SD ,7,SP,74,12
C,Yainer Diaz C | HOU,6,"1B,C,DH",327,327
1B,Spencer Torkelson 1B | DET ,5,"1B,DH",134,37
RP,Clay Holmes SP | NYM ,3,RP,239,147
LF,Chas McCormick OF | CHC,3,"DH,OF",102,5
SP,Kyle Harrison SP | MIL ,1,SP,232,69
SP,Eury Perez SP | MIA ,11,SP,,
SP,Jacob deGrom SP | TEX,3,SP,29,29
