Austin Bats
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
DH,"Shohei Ohtani DH,SP | LAD ","60","DH,SP",607,156
2B,Ketel Marte 2B | ARI,"35","2B,DH",395,114
3B,Austin Riley 3B | ATL ,"28","3B,DH",171,134
SS,Corey Seager SS | TEX,"25","DH,SS",270,18
CF,Victor Robles OF | SEA ,"3","DH,OF",52,24
LF,Bryan Reynolds OF | PIT,"16","DH,OF",271,188
1B,Jake Burger 1B | TEX ,"14","1B,3B,DH",161,16
C,"Salvador Perez C,1B | KC","11","1B,C,DH",333,265
RP,Bowden Francis SP | TOR ,"11","RP,SP",51,-20
CF,Luis Robert OF | NYM ,"11","DH,OF",263,137
CF,"Tommy Edman 2B,OF | LAD ","2","2B,3B,DH,OF,SS",198,68
SP,Tanner Bibee SP | CLE,"12",SP,366,247
3B,Mark Vientos 3B | NYM ,"1","3B,DH",187,29
RP,Ryan Walker RP | SF,"3",RP,170,-10
SP,Andre Pallante SP | STL ,"1",SP,179,
2B,Luis Garcia 2B | WAS,"11","2B,DH",302,134
SP,Jack Leiter SP | TEX ,"1",SP,324,14
SP,Kumar Rocker SP | TEX,"1",SP,83,
LF,Randy Arozarena OF | SEA ,"12","DH,OF",409,305
LF,Esteury Ruiz OF | MIA,"1","DH,OF",15,
RF,Jake Fraley OF | TB ,"1","DH,OF",107,
2B,Gleyber Torres 2B | DET,"1","2B,DH",348,87
MeShe
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
CF,Aaron Judge OF | NYY,"54","DH,OF",623,617
SP,Zack Wheeler SP | PHI ,"39",SP,489,489
3B,Manny Machado 3B | SD,"22","3B,DH",403,403
1B,Pete Alonso 1B | BAL,"14","1B,DH",435,435
C,Will Smith C | LAD,"13","C,DH",280,269
RP,Josh Hader RP | HOU ,"5",RP,324,324
SP,Nathan Eovaldi SP | TEX ,"5",SP,439,400
LF,Brandon Nimmo OF | TEX,"2","DH,OF",381,206
SP,Kevin Gausman SP | TOR ,"14",SP,471,449
SP,Freddy Peralta SP | NYM ,"14",SP,535,486
SP,Zach Eflin SP | BAL ,"7",SP,100,-9
3B,"Maikel Garcia 3B,SS | KC ","8","2B,3B,DH,OF,SS",445,306
3B,Max Muncy 3B | LAD,"6","3B,DH",239,73
SP,Tanner Houck SP | BOS ,"3",SP,6,
SP,Jameson Taillon SP | CHC,"8",SP,320,101
2B,Nico Hoerner 2B | CHC,"11","2B,DH,SS",456,248
SP,Joe Ryan SP | MIN ,"13",SP,465,406
SP,Spencer Strider SP | ATL ,"14",SP,226,226
SS,Zachary Neto SS | LAA ,"7","DH,SS",327,186
LF,Ian Happ OF | CHC,"12","DH,OF",356,39
C,Joey Bart C | PIT,"1","C,DH",98,
3B,Jeimer Candelario 3B | LAA ,"1","1B,3B,DH",7,
C,Nick Fortes C | TB,"1","C,DH",79,
SP,Eduardo Rodriguez SP | ARI,"1",SP,240,44
Bushwood CC
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
CF,Corbin Carroll OF | ARI ,"39","DH,OF",505,510
SS,Trea Turner SS | PHI ,"28","DH,SS",458,458
1B,Vladimir Guerrero Jr. 1B | TOR,"37","1B,DH",445,445
CF,Julio Rodriguez OF | SEA,"30","DH,OF",490,495
SP,Logan Webb SP | SF,"28",SP,543,543
1B,Matt Olson 1B | ATL ,"13","1B,DH",407,382
SP,Blake Snell SP | LAD ,"26",SP,175,142
SP,Sonny Gray SP | BOS,"3",SP,433,281
3B,Matt Chapman 3B | SF ,"7","3B,DH",280,228
SP,Cristopher Sanchez SP | PHI,"17",SP,601,540
SS,Bo Bichette SS | NYM,"14","DH,SS",390,99
C,Alejandro Kirk C | TOR,"1","C,DH",286,12
RP,Trevor Megill RP | MIL,"9",RP,275,218
C,Luis Torrens C | NYM,"1","C,DH",97,
C,Austin Wells C | NYY ,"3","C,DH",222,94
C,Connor Wong C | BOS,"1","C,DH",33,
C,Ivan Herrera DH | STL ,"2","C,DH",294,27
CF,Pete Crow-Armstrong OF | CHC,"8","DH,OF",446,392
C,Carson Kelly C | CHC,"1","C,DH",226,35
2B,"Jeff McNeil 2B,OF | ATH","1","2B,DH,OF",259,
SP,Jose Berrios SP | TOR ,"2",SP,331,285
C,Jonah Heim C | ATL,"1","C,DH",160,
2B,Michael Massey 2B | KC ,"1","2B,DH,OF",90,
SS,Tyler Fitzgerald 2B | SF ,"1","2B,DH,SS",68,6
Sofa Kings
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
SS,Bobby Witt SS | KC,"50","DH,SS",516,516
SP,Logan Gilbert SP | SEA,"36",SP,360,360
3B,Alex Bregman 3B | CHC,"18","3B,DH",300,298
SS,C.J. Abrams SS | WAS,"4","DH,SS",375,246
LF,Steven Kwan OF | CLE ,"9","DH,OF",411,314
1B,Vinnie Pasquantino 1B | KC ,"13","1B,DH",424,322
SP,Jared Jones SP | PIT ,"11",SP,,
C,Yainer Diaz C | HOU,"5","C,DH",275,9
SP,Walker Buehler SP | SD ,"9","RP,SP",180,3
SS,Oneil Cruz OF | PIT,"19","DH,OF,SS",282,212
SS,"Xavier Edwards 2B,SS | MIA ","9","2B,DH,SS",334,11
SP,Kodai Senga SP | NYM ,"13",SP,256,209
SP,Grayson Rodriguez SP | LAA ,"6",SP,,
RF,Nick Castellanos OF | SD ,"7","DH,OF",278,28
3B,Isaac Paredes 3B | HOU,"10","1B,3B,DH",250,133
SS,Dansby Swanson SS | CHC,"9","DH,SS",323,35
LF,Spencer Steer 1B | CIN ,"8","1B,DH,OF",293,57
LF,James Wood OF | WAS ,"16","DH,OF",364,274
2B,"Jonathan India 2B,3B,OF | KC ","2","2B,3B,DH,OF",211,
SP,Ryan Pepiot SP | TB,"4",SP,386,256
LF,Riley Greene OF | DET ,"13","DH,OF",341,10
RP,Luis Ortiz SP | CLE ,"1","RP,SP",161,
2B,Thairo Estrada 2B | BAL,"1","2B,DH",66,
3B,Joseph Ortiz SS | MIL,"1","3B,DH,SS",233,
Moneyball Dos
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
SS,Mookie Betts SS | LAD ,"41","2B,DH,OF,SS",420,420
3B,Rafael Devers 1B | SF ,"24","1B,3B,DH",423,423
SP,Aaron Nola SP | PHI,"28",SP,136,41
1B,Freddie Freeman 1B | LAD,"26","1B,DH",398,398
SP,Hunter Greene SP | CIN ,"22",SP,342,182
DH,Kyle Schwarber DH | PHI,"10","DH,OF",531,531
SP,Yoshinobu Yamamoto SP | LAD ,"29",SP,541,528
2B,Brandon Lowe 2B | PIT ,"1","2B,DH",286,66
C,J.T. Realmuto C | PHI ,"9","C,DH",227,227
1B,Yandy Diaz 1B | TB ,"1","1B,DH",422,21
DH,Brent Rooker OF | ATH,"8","DH,OF",411,252
RP,Edwin Diaz RP | LAD ,"6",RP,359,359
SP,Erick Fedde SP | CHW,"1","RP,SP",116,-13
RF,Joshua Lowe OF | LAA ,"8","DH,OF",216,32
LF,Lourdes Gurriel OF | ARI ,"2","DH,OF",322,97
C,Keibert Ruiz C | WAS,"2","C,DH",102,4
RF,George Springer OF | TOR ,"3","DH,OF",486,388
3B,"Josh H. Smith 1B,3B,SS,OF | TEX ","1","1B,3B,DH,OF,SS",270,15
SP,"Tobias Myers SP,RP | NYM","1","RP,SP",78,
SP,Yusei Kikuchi SP | LAA,"8",SP,329,182
SP,Shane Baz SP | BAL,"4",SP,311,88
CF,TJ Friedl OF | CIN,"2","DH,OF",363,45
LF,Michael Conforto OF | CHC ,"3","DH,OF",168,-2
3B,Jose Miranda 3B | SD,"1","3B,DH",1,
Cardinal and Gold
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
3B,Jose Ramirez 3B | CLE ,"58","3B,DH",585,581
LF,Christian Yelich OF | MIL,"25","DH,OF",393,393
SP,Tarik Skubal SP | DET ,"42",SP,662,662
RF,Cody Bellinger OF | NYY,"14","1B,DH,OF",469,469
2B,Marcus Semien 2B | NYM ,"9","2B,DH",285,285
RP,Grant Holmes SP | ATL ,"4","RP,SP",225,86
CF,Byron Buxton OF | MIN ,"6","DH,OF",417,407
SP,Justin Steele SP | CHC ,"14",SP,53,55
SP,Shota Imanaga SP | CHC ,"18",SP,344,313
SP,Seth Lugo SP | KC,"14",SP,288,251
1B,Christian Walker 1B | HOU ,"11","1B,DH",273,111
C,Willson Contreras 1B | BOS,"3","1B,C,DH",290,290
RP,Felix Bautista RP | BAL ,"6",RP,189,21
RF,Kerry Carpenter OF | DET,"3","DH,OF",258,110
3B,Royce Lewis 3B | MIN,"3","3B,DH",199,6
SP,Merrill Kelly SP | ARI ,"7",SP,455,330
RP,Edwin Uceta RP | TB ,"1",RP,201,
RP,Raisel Iglesias RP | ATL ,"14",RP,290,14
2B,Caleb Durbin 3B | BOS ,"1","2B,3B,DH",323,
RP,Andres Munoz RP | SEA ,"12",RP,353,194
CF,Jung Hoo Lee OF | SF ,"1","DH,OF",359,269
SP,Dean Kremer SP | BAL,"1","RP,SP",339,154
SP,Ranger Suarez SP | BOS,"1",SP,400,296
SP,Mitch Keller SP | PIT,"1",SP,319,
The Mike Uhlenkamp Experience
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
RF,Kyle Tucker OF | LAD ,"41","DH,OF",465,461
RF,Ronald Acuna Jr. OF | ATL ,"35","DH,OF",285,167
DH,Yordan Alvarez OF | HOU,"44","DH,OF",110,57
3B,Alec Bohm 3B | PHI,"1","1B,3B,DH",250,223
CF,Mike Trout OF | LAA,"9","DH,OF",258,251
C,William Contreras C | MIL ,"14","C,DH",360,360
SP,George Kirby SP | SEA,"19",SP,302,309
